,review,rating,title,keywords_by_method1,keywords_by_method2
0,"Got the app 5 weeks ago and I have made more progress in that time than the whole 1.5 years of swimming on my own before. The customized coaching is great and the app certainly pushes you but never has unreasonably high expectations of you. The ability to customize what goals you are working towards, how often you swim, how fast you swim, and what strokes you swim are all excellent features. Only negative I’ve experienced is minor bugs with sync issues between the app and my smartwatch. This hasn’t impacted my ability to use all the features just needed to use work arounds with how the workout is accessed by the watch. Minor bugs stop me from giving it a 5* but I am still loving the app. If I could see some additional features the biggest would be the ability to go back a set/split in a workout. Sometimes I can’t keep up with the times it says and I fall behind so this would help keep me on track. Also, the ability to toggle which swim equipment you have access to. My pool offers kick boards and pullbouys but no fins or paddles and I’d imagine it varies for everyone.",4,My Swim Pro Review,"['weeks ago', 'years of swimming', 'made more progress', 'app', 'ability', 'swim', 'unreasonably high expectations', 'minor bugs', 'features', 'weeks']","['swimming customized', 'app smartwatch', 'great app', 'additional features', 'working swim', 'loving app', 'swim excellent', 'app additional', 'app certainly', 'swim equipment']"
1,"I am not a competíos swimmer but I enjoy it and wanted to push myself. I have been using this app for almost 6 months and it has been great! It’s so worth the fee. It has helped me continue to improve my technique and swim faster (my top two goals). It gives you weeks long plans based on your goals (which you can adjust) and the times for each workout are based on your past swim times. You can also make each workout shorter or longer in duration based on your needs for that day. It also has a library of swimming workouts that you can do as you choose. They also have videos on tips for how to improve form and drills. It has helped me begin to learn a new stroke (I’m leaning breaststroke). I also like that they offer dry land workouts! They can be done at home with minimum equipment (or none in lost cases). I also love the option to chat with employees when I have questions. This can a question about a note in a workout or swimming tips. Since I’m not part of a team, it feels really good to have that human contact! The app is compatible with Apple and Garmin watches. If you have one, you get to see what’s next while in the water and or records your time and more. If you don’t have one of these (I didn’t at first), you can take note of four times and the add the manually.",5,Great investment,"['competíos swimmer', 'wanted to push', 'based', 'workout', 'times', 'competíos', 'swimmer', 'enjoy', 'wanted', 'push']","['workout swimming', 'swim times', 'swimming tips', 'swimming workouts', 'competíos swimmer', 'swimmer enjoy', 'technique swim', 'workout based', 'swimming', 'swim']"
2,"Very impressed.  As a long time swimmer with an Apple Watch, I didn’t think I wanted another app on top of Workout/Activities.  In fact I was initially annoyed that the app is designed for interval training not lap swimming.   I wanted notch up analytics for my laps at a slight cost, not a fully coached swim program.  But they’ve turned me around. From the moment my note to their customer service turned into a very rapid courteous personal reply, they began  winning me over.  Within 7 days I had begun to really appreciate feature sets and subscribed for a full year. Their app is loaded with pre-set and customizable workouts. You can for example remove kick drills from suggested workouts (my knee is injured) or checkout 15 second explanatory videos for stuff they want you to try. In short, a host of ways to make my swims more interesting.  I just finished a 1 on 1 call with their CS (currently offered to all subscribers) going over a few questions which they walked me through, noted my suggestions/concerns and patiently brought me into the world of their app.   I can understand why Apple gave them such high marks -  an very well designed product making use of Watch and phone tech , impressive CS, great GUI and what feels like an ever expanding future.  *****",5,From Analytics to Coaching,"['app', 'long time swimmer', 'impressed', 'Apple Watch', 'Activities', 'Apple', 'Watch', 'workouts', 'wanted', 'long time']","['app workout', 'swim program', 'customizable workouts', 'apple watch', 'workouts example', 'watch phone', 'app designed', 'use watch', 'app', 'app understand']"
3,"Let’s be honest, for many of us, our best competitive swimming years are behind us. Whether you’re a beginner, returning to the pool after taking years off, or in a master’s swim program - no doubt you need accountability, coaching, motivation and structure. Not only does this platform come with great pre-built swim plans and ability to build customized libraries - you get coaching through blogs and videos from swim experts. And if that weren’t enough, it connects you with a truly global swim community with some really awesome and humble people encouraging each other everyday. Using the watch in the water keeps you going and pushes you - better than your old coach yelling from the side of the pool! The stats and visuals are phenomenal. I’m amazed at how far I have progressed just following the pre-built plans. I have one paid app on my phone - it’s this one. But I don’t think of this as an app - because it isn’t. It is a complete support platform for people who swim. PS: tech will have issues from time to time - it’s the responsiveness of the team that matters. I’ve never had a tech issue that didn’t get resolved fully and ASAP.",5,You can’t believe all that’s packed into this subscription.,"['competitive swimming years', 'competitive swimming', 'swimming years', 'swim', 'years', 'n’t', 'taking years', 'honest', 'competitive', 'swimming']","['swim program', 'swim plans', 'swim community', 'swim experts', 'app phone', 'competitive swimming', 'global swim', 'built swim', 'swim ps', 'master swim']"
4,"First and foremost SwimPro is a great app with features that are helpful and motivating for a dedicated swimmer. I like being able to account for kick and drill sets during practice on the app. The “workout of the day” feature is easy to use, but only after reading the instructions. It is not “on the go” intuitive. The app has lap counting glitches. First, it lags behind counting laps by 25-50 yards. It usually catches up. However, I got lulled into trusting SwimPro to accurately tally the yards in my workout and today it got stuck at 2100 yards no matter how much more I swam (3750 yds). The app integrates easily to Strava and the Apple health apps. However, it can result in double counts of calories burned on calorie counter apps. I use MyNetDiary.  The glitches can make one frustrated, but overall the app is headed in the right direction.",4,Great but not fail safe,"['dedicated swimmer', 'helpful and motivating', 'app', 'great app', 'foremost SwimPro', 'swimmer', 'yards', 'foremost', 'great', 'helpful']","['swimpro great', 'swimpro accurately', 'swimpro', 'trusting swimpro', 'app workout', 'foremost swimpro', 'health apps', 'counter apps', 'app features', 'app lap']"
5,"This is the most complicated app for beginners. I literally didn’t even know what freestyle was. The plan assumes you have some sort of technical swimming background. Added to that is the fact that there is A LOT going on. So many colors and progress bars. I watched the videos a couple of times and still was confused. Added to that was the bug with the app not connecting with the watch and I had to reinstall.

Also, my pool is 25yd. The drill would say, for example, 2x100. Which I understood to be do 100 years twice. Then I had to calculate 100 is going back and forth 4 times. Then again. Can it just say 8x25? Or 4x25, 4x25? I feel like I had to do so much mental gymnastics and keep track of count. Again, Im sure there is a reason for it. But, the beginner plan was called “get wet”. I wanted to get in the water and do the drills. Enjoy myself swimming while I practice about breathing techniques. Master each stroke. Etc. 

Anyway, this is my take. This app is not for me. Maybe a super beginner plan with less technical stuff and a simplified screen would help. For now, I got my 20 dollars back. Im not paying to complicate working out. I just get a simple workout on swimplan and track on my apple watch.",2,Complicated,"['complicated app', 'app', 'complicated', 'plan', 'Added', 'beginner plan', 'literally did n’t', 'beginner', 'times', 'swimming']","['swimplan', 'workout swimplan', 'swimplan track', 'freestyle plan', 'swimming practice', 'technical swimming', 'enjoy swimming', 'swimming', 'complicated app', 'app beginners']"
6,"I use this app with my Apple watch 3. It automatically tracks all my lap swimming including what stroke I am doing. You have to input the kick sets yourself, but that is easily done. Seems to be very accurate, maybe off by 25 yards once in a while in a 3000 to 4000 yard workout. That’s not a big deal for me. 
My workouts automatically get uploaded to Strava. Call me vain, but that gets me to work out even harder!
I’ve used MySwimPro for open water three times. It definitely tracks the yardage and route. I thought there was a problem with it uploading my swim, but that’s only because my watch was in airplane mode. The Apple Watch goes into airplane mode when you switch your phone into that mode. But the watch doesn’t come out unless you take it out of airplane mode on the watch itself. This is totally unrelated to the MySwimPro app. 
Definitely sign up for emails; the weekly how-to and technique videos are really well done and helpful. 
All in all I highly recommend this app,  definitely better than just the Apple Watch software.",5,Great for Pool and Open Water,"['Apple watch', 'watch', 'Apple', 'mode', 'airplane mode', 'airplane', 'app', 'Apple Watch software', 'lap swimming including', 'automatically']","['myswimpro app', 'swim watch', 'apple watch', 'watch software', 'unrelated myswimpro', 'myswimpro', 'tracks yardage', 'used myswimpro', 'automatically tracks', 'workouts automatically']"
7,"High School was a long time ago for me, but I loved the swim team! My daughter has been swimming for high school too and I’ve always loved watching her! So when a gym with a pool opened up close by I signed up before they finished building it. The first month was killer, but I got my old strokes back and can now survive a good long 2,000 yard swim comfortably. For Christmas my wife got me an Apple Watch 4. To my amazement and delight, the basic watch can keep track of my distance AND my strokes! To my more amazement and delight I came across MySwimPro which works seamlessly with my watch! I’ve done a few workouts and through MySwimPro I’ve realized things have drastically changed since 1987! It’s like learning to swim all over again and I love it! Since I’ve started using MySwimPro I am within 5 seconds of my fastest 50 free in high school! Can’t wait to beat it and my school IM and Breaststroke records as well! And this is at age 50! Here’s to swimming and my personal MySwimPro coach! One of the best investments I’ve ever made for myself! You’ll love it too!!",5,"Seriously, Best Swim App Available","['long time ago', 'High School', 'time ago', '’ve', 'swim team', 'long time', 'High', 'School', 'MySwimPro', 'loved']","['swimming personal', 'workouts myswimpro', 'learning swim', 'myswimpro coach', 'swim team', 'apple watch', 'personal myswimpro', 'breaststroke records', 'im breaststroke', 'myswimpro seconds']"
8,"I’ve been using MSP for about 4 months, swimming 3 times per week usually.   The training plans are excellent.  Having the workouts loaded on my Apple Watch so the watch can keep track of intervals is really helpful.   Using the app has helped my swimming a lot.  That said, I’ve encountered a few bugs.  There have been issues with dynamic interval times that I’ve entered being overwritten.  Other users have experienced the same.  When this occurs it messes up the workout on my watch. I’ve been in touch with support but the issue still hasn’t been resolved after about a month.  I’ve also had issues loading training plan workouts onto my watch if I modify them.  It takes several tries for the modifications to show up on the watch for some reason.  Some of the workouts have links to videos that only work intermittently.   I still use the app every time I swim and I still find it helpful, but sometimes it can be frustrating to get it working properly.",5,"Very useful, but a few issues","['MSP', '’ve', 'Watch', 'Apple Watch', 'workouts', 'week', 'swimming', 'helpful', 'times', 'training']","['workouts watch', 'workout watch', 'using msp', 'msp', 'workouts loaded', 'messes workout', 'apple watch', 'msp months', 'modifications watch', 'training plans']"
9,"Save your money if you use a different watch.
Got the trial. Super excited to not have to create my own workouts in Garmin Connect. I have used my Garmin for Pool Swimming and had no trouble with structure workouts or my watch tracking laps/yardage. Thought the training plans looked fantastic and couldn’t wait to try them out. Turns out it doesn’t share a workout file like Training Peaks. Instead you need to down an app on the watch. Did it, syncing was laborious, the swim app for my Garmin watch was terrible. Yardage the watch counted was not even reasonable. The data the app offered after the workout had synced with my phone was garbage. Wrong yardage, wrong strokes identified, intervals made no sense. Without the ability to send my workout to my watch and find it useable the app and matching subscription is worthless. Liked the idea. Wished it lived up to the promise, but I’ve canceled my subscription and let the free trial run out.",3,I bet it works great with Apple watches…,"['Save your money', 'Garmin Connect', 'watch', 'Garmin', 'Pool Swimming', 'Garmin watch', 'app', 'workout', 'Training Peaks', 'Save']","['workouts garmin', 'workout synced', 'garmin watch', 'workout watch', 'workouts watch', 'app garmin', 'swim app', 'garmin pool', 'garmin connect', 'app watch']"
