,feature,review,similarity score
0,personalized training plans,"Amazing app, amazing coach and superb courses. I am enjoying the app so much and it motivates me to go at least twice a week for swim. I find courses are very well made and help any aspiring swimmer at all levels. 
I used to swim but the coach had changed my swim style and technique so much and it improved my swimming endurance and skill to a great extent. 
Thank you for the wonderful service. The subscription is very well worth. In fact I would say you get lot more than you pay if you are persistent with the workouts and the courses",0.455866
1,personalized training plans,Tried a few training apps for getting into swimming and this one is the best I’ve seen. Tips are helpful and easy to understand,0.9012913
2,personalized training plans,"I have been trying to learn how to freestyle without a coach. After 50+ videos saying keep your elbows up, this is the 1st videos to actually SHOW you how to do it. Also the demonstrations OUT OF WATER are very helpful. I love the way this app and it’s videos are so helpful. I began my swimming with 27-28 strokes to get me across the pool. In 5 days with the help of this training, today I crossed the pool in 17-18 strokes. I’m impressed!",0.89004844
3,personalized training plans,"Great app! Simple as it is, works good for beginners and pros as well! Just download this app, find a pool and get that practice done!",0.900084
4,personalized training plans,"They put me on 2 levels before champion but the workouts are way too easy. I also told the survey, I swim for 2 hrs and a minimum of 5000 yards. The training they give me is less than 2 hrs and WAY less than 5000 yards.",0.46674278
5,personalized training plans,Thank you guys. Appreciate your work.,0.5355433
6,personalized training plans,"I love Swimup’s YouTube channel so I was really excited about their app. It’s a nice minimalistic app that’s simple and not complicated. But my biggest problem are the videos. Why isn’t there any sound in the videos for technique, drills, etc. I love Swimup’s YouTube videos because of the explanations. It’s very frustrating when I want to watch a video for technique and drills and there is no commentary. Due to that, the app unfortunately doesn’t live up to what the channel has proudly made themselves to be :/",0.455866
7,personalized training plans,No voice tutorials makes these videos useless.,0.52294517
8,drill&technique video library,"Amazing app, amazing coach and superb courses. I am enjoying the app so much and it motivates me to go at least twice a week for swim. I find courses are very well made and help any aspiring swimmer at all levels. 
I used to swim but the coach had changed my swim style and technique so much and it improved my swimming endurance and skill to a great extent. 
Thank you for the wonderful service. The subscription is very well worth. In fact I would say you get lot more than you pay if you are persistent with the workouts and the courses",0.9402357
9,drill&technique video library,Tried a few training apps for getting into swimming and this one is the best I’ve seen. Tips are helpful and easy to understand,0.36419126
10,drill&technique video library,"I have been trying to learn how to freestyle without a coach. After 50+ videos saying keep your elbows up, this is the 1st videos to actually SHOW you how to do it. Also the demonstrations OUT OF WATER are very helpful. I love the way this app and it’s videos are so helpful. I began my swimming with 27-28 strokes to get me across the pool. In 5 days with the help of this training, today I crossed the pool in 17-18 strokes. I’m impressed!",0.34052444
11,drill&technique video library,"Great app! Simple as it is, works good for beginners and pros as well! Just download this app, find a pool and get that practice done!",0.36160204
12,drill&technique video library,"They put me on 2 levels before champion but the workouts are way too easy. I also told the survey, I swim for 2 hrs and a minimum of 5000 yards. The training they give me is less than 2 hrs and WAY less than 5000 yards.",0.94433945
13,drill&technique video library,Thank you guys. Appreciate your work.,0.9674944
14,drill&technique video library,"I love Swimup’s YouTube channel so I was really excited about their app. It’s a nice minimalistic app that’s simple and not complicated. But my biggest problem are the videos. Why isn’t there any sound in the videos for technique, drills, etc. I love Swimup’s YouTube videos because of the explanations. It’s very frustrating when I want to watch a video for technique and drills and there is no commentary. Due to that, the app unfortunately doesn’t live up to what the channel has proudly made themselves to be :/",0.9402357
15,drill&technique video library,No voice tutorials makes these videos useless.,0.9636329
16,easy-to -follow workouts,"Amazing app, amazing coach and superb courses. I am enjoying the app so much and it motivates me to go at least twice a week for swim. I find courses are very well made and help any aspiring swimmer at all levels. 
I used to swim but the coach had changed my swim style and technique so much and it improved my swimming endurance and skill to a great extent. 
Thank you for the wonderful service. The subscription is very well worth. In fact I would say you get lot more than you pay if you are persistent with the workouts and the courses",0.94474643
17,easy-to -follow workouts,Tried a few training apps for getting into swimming and this one is the best I’ve seen. Tips are helpful and easy to understand,0.3515871
18,easy-to -follow workouts,"I have been trying to learn how to freestyle without a coach. After 50+ videos saying keep your elbows up, this is the 1st videos to actually SHOW you how to do it. Also the demonstrations OUT OF WATER are very helpful. I love the way this app and it’s videos are so helpful. I began my swimming with 27-28 strokes to get me across the pool. In 5 days with the help of this training, today I crossed the pool in 17-18 strokes. I’m impressed!",0.32780212
19,easy-to -follow workouts,"Great app! Simple as it is, works good for beginners and pros as well! Just download this app, find a pool and get that practice done!",0.34898448
20,easy-to -follow workouts,"They put me on 2 levels before champion but the workouts are way too easy. I also told the survey, I swim for 2 hrs and a minimum of 5000 yards. The training they give me is less than 2 hrs and WAY less than 5000 yards.",0.94869393
21,easy-to -follow workouts,Thank you guys. Appreciate your work.,0.97081983
