,review,rating,title
5,"This is the most complicated app for beginners. I literally didn’t even know what freestyle was. The plan assumes you have some sort of technical swimming background. Added to that is the fact that there is A LOT going on. So many colors and progress bars. I watched the videos a couple of times and still was confused. Added to that was the bug with the app not connecting with the watch and I had to reinstall.

Also, my pool is 25yd. The drill would say, for example, 2x100. Which I understood to be do 100 years twice. Then I had to calculate 100 is going back and forth 4 times. Then again. Can it just say 8x25? Or 4x25, 4x25? I feel like I had to do so much mental gymnastics and keep track of count. Again, Im sure there is a reason for it. But, the beginner plan was called “get wet”. I wanted to get in the water and do the drills. Enjoy myself swimming while I practice about breathing techniques. Master each stroke. Etc. 

Anyway, this is my take. This app is not for me. Maybe a super beginner plan with less technical stuff and a simplified screen would help. For now, I got my 20 dollars back. Im not paying to complicate working out. I just get a simple workout on swimplan and track on my apple watch.",2,Complicated
9,"Save your money if you use a different watch.
Got the trial. Super excited to not have to create my own workouts in Garmin Connect. I have used my Garmin for Pool Swimming and had no trouble with structure workouts or my watch tracking laps/yardage. Thought the training plans looked fantastic and couldn’t wait to try them out. Turns out it doesn’t share a workout file like Training Peaks. Instead you need to down an app on the watch. Did it, syncing was laborious, the swim app for my Garmin watch was terrible. Yardage the watch counted was not even reasonable. The data the app offered after the workout had synced with my phone was garbage. Wrong yardage, wrong strokes identified, intervals made no sense. Without the ability to send my workout to my watch and find it useable the app and matching subscription is worthless. Liked the idea. Wished it lived up to the promise, but I’ve canceled my subscription and let the free trial run out.",3,I bet it works great with Apple watches…
11,"I loved the idea of this app and really wanted to like it. The workout structure was helpful and is pretty nice. However, I found numerous glitches in the app where it would tell you do to a specific type of stroke… but wouldn’t tell you how to do it. I would update my app and eventually had to contact support. That was a mixed bag. They also never issued refunds. That’s in the fine print but I didn’t think they were very upfront with that. So buyer beware. I found that very frustrating because I constantly had issues with the app and they’d say they’re working on it. I eventually gave up because it was super expensive and never worked. 

Honestly, I wish I would have used the Total Immersion Program with Terry Laughlin (may he Rest In Peace). It does a much better job of explaining the technique and Terry is a much better instructor. There are dvds and a book but the website is great too.",3,Great idea w/ ok execution. Buyer beware
13,"I loved this app, but for the last week or more I’ve spent at least an hour a day installing an uninstalling it thinking that it’s finally fixed!  Then the next day I get ready to swim only to find that its not working again!  I’m so upset because I swim 3 to 4 days a week and when u get n the pool and r ready to start the last thing u want is to start the app and it’s not working again.  I live n Florida and many days I have to swim n between storms not to mention the schedule that I keep.  
Please respond and help me with my problem.  I have the latest update an Apple Watch 2 that’s still covered by Apple care, but since this isn’t an Apple app probably can’t be helpful.  Also have an iPhone 8 also still covered.  I’m adding to my review has anyone noticed that there isn’t a good review since June.  What has happened to this app?  When the good reviews r about customer service that’s know help!  Please undo what u did and fix this app.  People gave u five star review a year ago.  Remember if it’s not broken why do u have to mess with it!",1,What is going on?
17,"So this app is amazing when it works well, but it is beyond frustrating when it doesn’t work. It randomly shuts down in the middle of a workout or freezes and you lose everything. Without a hard copy of your workout, you’re left trying to remember what you were going to do and the intervals. You also don’t get credit for what you already swam, and personally I like the satisfaction of knowing when a job is done well and what my stats from the workout are. I paid for a year subscription, and on days like today I feel as though it was a waste. Yes, the app is apparently updated. My watch and phone are as well.  

Aside from the negativity, the workouts of the day are wonderful for saving and doing when you want to swim without coming up with your plan. I was doing a training regimen before covid, and that was a great way to push yourself. It is the best app for swimming when it works, but it’s the worst when it doesn’t function properly.",1,"Works well when it does, but when it doesn’t..."
18,"I used this app with my Apple Watch Series 4 and now with the Ultra. Even with the new IOS and updated version of the app, it still does not track my laps accurately. I have my own pool in my backyard and know the distance so it’s not that I’m possibly entering the wrong length of the pool. I can say in their defenses that Apple fitness doesn’t track accurately either. The only app that tracks accurately, though not all the time, is My Swim Tracker. I’m not concerned about all complaining I read here about the nagging for upgrades and costs. It won’t even count a lap accurately. By the way, it is consistently 6 laps off. I have reset the calibration on my phone for the watch and still no success. I have reset the phone and app with no change. I have even deleted and reinstalled the app and nothing seems to work to get this app to accurately track my swims. What gives??",2,Doesn’t track basic laps
19,"The MySwimPro app is falsely advertised as a free product with in-app purchases available. 

The fact is that the free app offers nothing that the Apple Watch fitness app doesn’t already do. 

The features that MySwimPro have over the fitness app is locked behind a $180 annual paywall. 

Without the $180 purchase, the app does NOT: 

- allow custom or community workouts of any kind.
- track detailed swim times
- provide real time intervals on your watch during a generic swim

What does the free version do? 

- has a generic swim display that shows Total time, Total distance, and heart rate. (No intervals, splits, finish times, etc). It’s the same as the free Apple Watch fitness app, with different color lettering. 

Additionally, the phone app cannot be used without the $180 purchase. It puts a giant ad on your screen that takes up 50% of the display. With the added top and bottom control banners, the free app only has about 20% of screen available to you to use. 

This app is despicable. The people behind this app are despicable. I’ve always thought highly of my fellow competitive swimmers. The people behind this app have brought some reality to my naive and biased belief. 

They are simply taking advantage of older, out of shape, non-competitive swimmers who wouldn’t know any better. 

Save your $180. Google swim workouts, print, and bring to the pool deck.",1,False Advertising
22,"I am not a professional swimmer but I do swim 6 days a week as my primary exercise. I used the one month free trial to get some of the premium features and I wasn’t sold. 

I like that there are workouts designed for me and that the watch tells you what to do. I used to print my workout and tape it to my water bottle at the end of the lane. I like that there are videos and helpful hints along the way when learning a new technique. 

I’m not a fan of the fact that I could finish a 1600yd workout just in time for the app the crash at the end of the workout and not record anything on the app. 

I would like to be able to restart a set or a rep in case the times didn’t match up or in case the app was buggy (which has happened). 

I have been so excited to see the times for reps and splits when I pop up out of the water only to find that it seems like the timer never started. Except it did start. And while I was trying to decide how to unlock, force touch pause, then force touch resume to see my times, I got a haptic notification that meant my next rep was starting and now I’m behind. 

I definitely wouldn’t pay for the app especially if the crashes so often. Even when I had the premium free trial it crashed. It needs some major bug fixes before I’ll try it out again.",2,Once crash too many
24,"Keeping in mind the ridiculous hobbling that apple water lock causes, this app is still horrible. It undercounted a simple 300 free warmup. You have to screw around with trying to lunlick the water lock and then restart to go to the next set, which is a disaster. It somehow decided to pause a quarter of the way into my 16 repeat set. When you restart you have no idea what your set is so you waste the fort interval. You have no list of what’s next. All in all it captured almost none of my work out and I gave up on it eventually. To add insult to a bad experience the only thing it reported was my interval times. Yea that does a lot of good to know what interval I did. You don’t get your active time or stoke count without subscribing. You get both of those for free in the native apple activity app. An entire wasted workout of data. Glad I know not to spend money unless I just want workout ideas. This app is a huge fail.",1,Horrible
26,"Every time I open the app (about once every two days) they make me close a pop up about new features/upgrades/bug fixes. Good for you all for being so active at work, but shoving a bunch of text I don’t care about in my face literally every time I open the app is immensely annoying. Hire a UX researcher to investigate if you think I’m being dramatic, or, if you already have a UXR, perhaps listen to them more, as I’m certain they’re telling you it’s bad practice. 

Anyways, app is fine. Better tracking than Strava for swimming. Rarely gets my stroke right for pool swimming and I often have to adjust the distances for open water (always severely undercounted distance). But better than other options for now.",3,Stop telling me about all your upgrades
27,"Buggy.  Poor split recording.   Switched from yards to meters And nothing happened to base times.   Occasionally will skip a workout in a series and there is no way to go back.  Frequently displays single workout results twice with slightly different times and splits.  No great way to edit this.

Unfavorable characteristics:
If I finish after the base time, the program has already started the next .  There doesn’t appear to be anyway to record this.  I can pause the workout but that’s not what really happened.  I can’t change my bases on the fly, and go back later, look at what I was able to do and change bases for the next workout.   It would be nice if the program would take tsplits into account when using designed workouts.  Can’t just extend a program workout if I want to do a few more meters",2,The 4 and 5 star reviews are wrong
31,"App subscription seems overall expensive. But i can see that it costs money to make the nice instruction videos. But paying extra for metrics seems a bit much.  My biggest gripe is that even with a series 4 watch the app doesn’t accurately gather the distance information, thus doesn’t appropriately capture the rep transitions and counts. Sometimes it seems to show the correct yardage but then when I end the workout it takes off 25 yard. I start and stop in the same place in a 25 yard pool, so not possible to not be in 50 yard increments. Sometimes I’ll do extra laps and it subtracts it off the total in the end, not giving me credit. 

I like the idea, and maybe I need to learn better how it expects to be used but it shouldn’t be that complicated.",3,Watch metrics not accurate
