,review,rating,title,keywords_by_method1,keywords_by_method2
0,"After using this app for two years on a Pebble watch, it was hit or miss.  Moving on to an Apple Watch 2, the interface was better but motion tracking and distance recording was only slightly better.  Recent updates under iOS 12 and WatchOS 5 give much better tracking in the pool.  I still get occasional phantom laps added but overall, length tracking is very good.

The app still cannot distinguish my breaststroke from freestyle.  So frustrating. 

I wish the app allowed better data analysis of multiple workouts over a period of months, like being able to chart swolf for all of my swims.  I’m not a competitive swimmer so many of the apps features don't appeal to me.  I just don't understand why I cant look at the pace of all my freestyle sessions over time and see if I’m improving.",4,Improved tracking but data analysis still weak,"['Pebble watch', 'hit or miss', 'Apple Watch', 'Pebble', 'watch', 'miss', 'tracking', 'app', 'years', 'hit']","['swimmer apps', 'swims competitive', 'breaststroke freestyle', 'freestyle frustrating', 'breaststroke', 'pace freestyle', 'distinguish breaststroke', 'apple watch', 'tracking pool', 'swimmer']"
1,"Strictly from an App Design standpoint, it breaks several of Apple’s UI Design Recommendations. For instance, when searching for a location, the “X” should clear out the text in the search field, because that is the standard for this UI, but in this case, it closed the location settings all together.  There are lots of other clunky and unpolished UI decisions that make it hard for me to want to engage with the app as well.  

In functionality, my pool isn’t listed so all of the leaderboard functionality is not going to work for me.  I’m surprised that it asked to read my health data, but didn’t go ahead and import all of the swims that are already recorded into their application, especially when it claims that breaststroke is my least swam stroke (it’s actually fly).

Lastly, this has a very social media feel to it in some places, especially as I was going through the privacy settings, so if that isn’t your thing (like it isn’t for me), make sure you turn your profile to private.",3,"It has potential, but still needs work.","['App Design standpoint', 'Design Recommendations', 'Design standpoint', 'App Design', 'Design', 'Recommendations', 'Apple', 'n’t', 'App', 'Strictly']","['app functionality', 'app design', 'swims recorded', 'claims breaststroke', 'app', 'pool isn', 'strictly app', 'apple ui', 'engage app', 'breaststroke']"
2,"They’ve made some good improvements to the app over the last few years. I like the drill setting, and how it’s easy to edit workouts. However, stroke detection needs work. I’m a pretty experienced swimmer, with really good form, but it still thinks my butterfly is freestyle, and sometimes thinks my backstroke is breaststroke. I’m not sure if this is a bug with Apple Watch 8 (stroke detection was better on my series 5). It is good with lap count, but could be improved in recognizing sets better…even tho I do flip turns and long sets, it still divides sets into smaller sets. 

Still, I do like the improvements they’ve made in the last few years. Keep working on it.",4,"Good, but a little wonky with stroke detection","['stroke detection', 'Apple Watch', '’ve made', 'sets', 'years', 'stroke', 'good', 'app', '’ve', 'drill setting']","['apple watch', 'watch stroke', 'improvements app', 'workouts stroke', 'stroke detection', 'app years', 'edit workouts', 'experienced swimmer', 'improved recognizing', 'app']"
3,"At 70 yo I sometimes ( no, all the time) need motivation in these times to get up and do something healthy   Keeping track of my daily yardage and checking cumulative weekly, monthly and annual yards against others in similar age groups keeps me getting up early and driving daily to the Y.  Having just learned to swim last year i can keep track of how my speed has been increasing.  I’m still a tortoise but it’s getting better.   Really place a lot of credit for keeping with this new hobby on this app.  Just wish the app was better able to discern between my backstroke and breaststroke.  Looks like I do a lot of breaststroke ( which I never do); preferred stroke is backstroke which I do a lot of.  Other than that I have very few complaints bout this app.",5,Use it for motivation,"['checking cumulative weekly', 'similar age groups', 'healthy Keeping track', 'cumulative weekly', 'monthly and annual', 'daily yardage', 'driving daily', 'yardage and checking', 'checking cumulative', 'annual yards']","['track daily', 'hobby app', 'keeping track', 'app better', 'app', 'bout app', 'motivation times', 'wish app', 'app just', 'need motivation']"
4,"This app has all the potential of being great but the inaccuracy of the total distance swam makes it annoying. Additionally, if you’re a  consistent long distance swimmer (+4,000meters at a time) it has a high likelihood of crashing. I’m part of a club team and we have “wall tap counters” (every time you touch the wall it counts the lap you’re on) we found the app to be about 10-20% off on the total number of laps swam. So...I have a solution for you. The reason why the app counter is wrong is because it doesn’t take into account that some swimmers have longer “strides, glides, wingspan” then others, one way you could fix that is by allowing the app to calibrate individual swimmers. At the start of your app, you should have swimmers swim 25-50 meters so that the App gets used to how many arm lengths it takes for that particular swimmer, making the app more accurate.",2,Inaccurate/buggy,"['distance swam makes', 'makes it annoying', 'total distance swam', 'app', 'swam makes', 'consistent long distance', 'long distance swimmer', 'total distance', 'distance swam', 'long distance']","['app swimmers', 'swimmer 000meters', 'distance swam', 'distance swimmer', 'meters app', 'individual swimmers', 'number laps', 'laps swam', 'app accurate', 'swimmers swim']"
5,"Installed this app because I was looking for some better views on my watch of laps, time, heart rate, etc when swimming. The Apple Workout app wasn’t cutting it for me. The watch views are exactly what I was looking for but I noticed after a couple swims that my active calories are significantly under reported compared to the Apple app. When comparing heart rate data from other workouts it seems this app is under reporting rather than other apps over reporting. The difference is significant for a 30 minute workout, about half the reported calories.",4,Good Watch Views; Questionable Activity Tracking,"['Apple Workout app', 'Apple', 'app', 'time', 'heart rate', 'Apple Workout', 'Apple app', 'watch of laps', 'Installed', 'laps']","['workouts app', 'workout app', 'apple workout', 'reported calories', 'active calories', 'calories significantly', 'apps reporting', 'data workouts', 'app comparing', 'heart rate']"
6,"I want to like this app. It has potential, and I’ve stuck with it for the past three years. Unfortunately, the bugs are overwhelming. Even something as simple as drill mode, where the app doesn’t need to do anything except what it is told by the user, fails to record proper distance and time. Not to mention the latest “upgrade” to drill mode that uses force touch to control it at every interval. In water, force touch doesn’t work that well, so it is a nightmare to use. What’s more, half of the time the workouts don’t upload correctly from an Apple Watch. Spend more time on bug fixes rather than continuing to push forward useless and detrimental features. Make the app solid and reliable first, then focus on upgrades.",2,Bug fixes > Useless features,"['drill mode', 'app', 'Apple Watch', 'n’t', 'force touch', 'time', 'past three years', '’ve stuck', 'drill', 'mode']","['app potential', 'apple watch', 'time workouts', 'app solid', 'app', 'make app', 'bug fixes', 'workouts don', 'app doesn', 'fixes']"
7,I like this app because it’s the only one I know of that lets me edit back in my kick set yardage after the workout is done. There is no choice for a kick set in the editing section so I call them a drill. App worked well until recently then suddenly stopped uploading data to Apple health. After about one month an update was released and now everything is working properly again.,4,Stopped uploading to Apple health,"['kick set yardage', 'edit back', 'kick set', 'set yardage', 'kick', 'set', 'Apple health', 'edit', 'back', 'yardage']","['yardage workout', 'drill app', 'kick set', 'app', 'apple health', 'set yardage', 'app know', 'like app', 'choice kick', 'workout choice']"
8,"Easy to use and manually add my yardage. I have a iWatch but can't figure out how to use it with this site
When I click the Leaderboard, it only shows I've done 75yds so I'm obviously doing something wrong as my 3x per week swims are close to 7,500.  I'm 67 yrs of age and since covid pandemic have been away from synchronized swimming so loving the pool again 
Not techi but at least I can manually enter my yardage
Reported my pool as having changed names and it was quickly corrected!   Thank you!",5,Enjoy tracking,"['add my yardage', 'manually add', 'yardage', 'Easy', 'click the Leaderboard', 'enter my yardage', 'add', 'manually', 'Leaderboard', 'pool']","['yardage iwatch', 'click leaderboard', 'leaderboard', 'leaderboard shows', 'easy use', 'iwatch', 'pool techi', 'add yardage', 'enter yardage', 'loving pool']"
9,"The new iPhone app format update is the worst user interface I've ever seen. Lots of wasted space with useless bar graphs and useless lifetime totals, difficult to see your last workout data, and hard to read it when you find it. And a new focus on offering workouts but if you don't need them you're going to have to constantly navigate around that. The Apple watch workout app shows the real data a million times better. Hopefully they'll fix it because their Apple watch app is better than the workout one. 

Lastly, still useful from an old review:
There are no weekly totals, no analysis of improvement. If they improve all this stuff it could be useful.",1,Needs work on interface in phone app,"['worst user interface', 'iPhone app format', 'app format update', 'format update', 'worst user', 'user interface', 'Apple watch', 'iPhone app', 'app format', 'Apple']","['workout app', 'workout data', 'watch app', 'watch workout', 'iphone app', 'app better', 'apple watch', 'better workout', 'app', 'new iphone']"
