,feature,review,similarity score
0,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I like sport gadgets, but usually 9 out of 10 times my enthusiasm ends in great disappointment. However, the Form swim goggles have by far exceeded my expectations - they simply work. All the features advertised work better than expected and the app is a solid companion of the goggles. If you want to focus on your swim and forget counting laps or looking up for your time, the Form swim goggles are the best solution. They are also for me personally one of the best fitting goggles I’ve ever used, but that might be different for others people. I am really grateful for the team having developed these goggles. I wish more people knew about them. They are now also sold in Europe, but I was able to order them from the US.
P. S. : last week I tried out the new open water feature after a firmware update. I connected my Form goggle with my Apple Watch series 4 and went for a first swim. Once again, it all worked as announced. Just as a suggestion, I really wish that the developers could use Apple Watch’s inbuilt compass to show the direction of my swim on the display too. It’s my only future feature request!",0.48147053
1,"choose own plans or workouts in app,can also load own workouts through custom workout builder","My biggest question was if I was going to be able to read the data without my glasses and can tell you No problem as the data is easy to read and very clear in my vision. 

I have recently started running Triathlon events and was struggling with the swimming portion. I have been looking into Form goggles for a while and decided to purchase them as I do all my swimming in open water. My first impression is they were very easy to set up and connect to my Garmin 745 watch. After several swims I can already see they are helping me swim farther by knowing the distance I have covered as well as time length and pace of my swim. I set a goal of distance and/or time I want to swim and now I know when I have completed my goal. 

Another benefit to me is the fact that in open water lake swimming I can’t see the bottom so it was like swimming in the dark whenever face was in the water and now I focus on the data which is very easy to read.",0.48147053
2,"choose own plans or workouts in app,can also load own workouts through custom workout builder","This has been a game changer in how I swim. First, the app is great and is the required companion for the Form goggles. The goggles are amazing and after almost half a year of reliable swim tracking in the mornings and at night, I love these goggles and the app. They are fast, reliable, the screen is clear underwater and gets out of the way. Most importantly it lets me enjoy my swims without counting in my head and lets me have the data to know how I am performing and set timing goals to improve. I don’t know how it knows my stroke type, but again these goggles and the app are magic and I highly recommend them both!",0.48147053
3,"choose own plans or workouts in app,can also load own workouts through custom workout builder","This and bone conduction headphones have me swimming 2-3 times a week. The workout planner is awesome - it keeps it interesting. 

My feature request to the developer - please allow setting a critical swim pace, and allowing the workout builder to set intensity based on that, so that in the pre set instructions it can give a time per lap to shoot for. Or even allowing custom notes where I could enter that. 

Thanks for a game changing product!",0.88169223
4,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I love the product and app. Everything is done very well and I can’t imagine my life without the googles. Some reviews claim that this product should be for serious swimmers. I am a terrible form, overweight guy trying to lose 100 pounds and this app and googles have already made a big difference and I’m swimming longer. So thankful for this product. It is for everyone!",0.8820722
5,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I love these goggles so much, but when it comes to charging them the goggles won’t charge well. I’ll put them on the charger and the red light comes on. I’ve tried to fix this issue by rearranging the way the charger connects to the goggles, but the light stays red except for some spots that are green. The problem with this is that the goggles are never guaranteed to be charged when I leave them with a green light. I understand that the goggles are new and still working through updates and I really appreciate what this company has done for swimming!",0.48147053
6,"choose own plans or workouts in app,can also load own workouts through custom workout builder",I don’t understand their pricing but right now I don’t care because I like this app and my goggles so much. It was always so annoying to me to have to remember my labs. How to stop and click a clicker or write something down.  No more. I just swim. I just got the polar optical sensor I haven’t quite figured out how to connect it but when I do I may write more,0.48147053
7,"choose own plans or workouts in app,can also load own workouts through custom workout builder","After admiring them for awhile, I’m very grateful to have been gifted a pair of Form goggles by my teammate. I’m fascinated by all the metrics available upon synching and am very happy with the very user friendly interface!  I really look forward to learning more about my swims afterwards as well as seeing the real time info available as I swim!!!",0.8844234
8,"choose own plans or workouts in app,can also load own workouts through custom workout builder",I love the idea behind this as it records your laps and swims and just the rest timer itself is awesome just to keep you on schedule with your workout.  What I really wish for is a current lap timer during your swim.  I have the settings to have it turned off mid lap then just flash split times after the turn.  But seeing the time of the current lap I feel would be a big motivator and helpful to keep you on pace,0.48147053
9,"choose own plans or workouts in app,can also load own workouts through custom workout builder",If a user can estimate their DPS (distance per stroke) in the settings it would be possible to calculate distance swam in open water setting without GPS since Form already calculates stroke rate. Understanding that this is all estimated... it is a motivation tool for a swimmer.  Swimming with a watch is annoying and I will never do it. That is why I bought Form. Would be cool to see an estimated distance so I don’t have to do the math myself.,0.48147053
10,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I bought the goggles for the real-time telemetry.  The true potential was the workouts.  I stay engaged and improving without boredom.  I use a plentiful variety of structured workouts that use drills, equipment and just plain fun to pour on the power!  My times are improving too.",0.49341547
11,"choose own plans or workouts in app,can also load own workouts through custom workout builder","Form is the best in swimming metrics. The display quality and comfort of the googles are uniquely awesome, as well as the app! The only missing feature to be able set a certain distance to reach for the ability to count down and show the remaining distance. This is a base for a long distance swimmer.",0.49481645
12,"choose own plans or workouts in app,can also load own workouts through custom workout builder",These goggles are fantastic and the app is the perfect complement. It lets me dig into my swim data to track my performance improvement. The app is well laid out and intuitive and allows you to share workout data among friends.,0.8861534
13,"choose own plans or workouts in app,can also load own workouts through custom workout builder","These puppies are amazing! The AR display helps me track my laps and splits and times and distance and calories. WHILE I swim! It’s amazing and I love them. Plus, their customer service is excellent. 10/10 thank you FORM! Legiiiiiit.",0.49907652
14,"choose own plans or workouts in app,can also load own workouts through custom workout builder",The app is good: responsive and user friendly.  It’s great to see all the stats in one place as well as all of my workouts. Video tutorials of the drills are also very helpful,0.5035171
15,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I was a bit skeptical about these goggles and did not believe the hype, then I tried them. Wow, what a remarkable change to my training and focus. I love them.",0.4987279
16,"choose own plans or workouts in app,can also load own workouts through custom workout builder",I am enjoying the glasses and app.  Joining is too expensive considering I had to buy the goggles and already pay for pool time. Will hold on that for now,0.50079787
17,"choose own plans or workouts in app,can also load own workouts through custom workout builder","Please let me have more stats on real time like I can choose for turn and rest.

Thanks!",0.5197123
18,"choose own plans or workouts in app,can also load own workouts through custom workout builder",Cannot wait to monitor my heartbeat live. Thank you Form Team.,0.90267843
19,"choose own plans or workouts in app,can also load own workouts through custom workout builder",Form goggles are awesome.  Takes your swimming to a whole other level! And their customer service is top notch.,0.5123307
20,"choose own plans or workouts in app,can also load own workouts through custom workout builder","Love the new graphs in the app, and excited to try out some of the new dashboard options",0.90250885
