,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,platform
0,feca0ff6-133b-4ca9-9112-47071c30605e,Russ Smith,https://play-lh.googleusercontent.com/a-/ALV-UjUST-0gN9N4CIAL4y0Xq1P9vvGDicBxobBgUuiZ3g0AdiM,"The app is fine. Billing is weird. Form tried to bill me using Google Pay, which is fine. BUT the name was a person not ""FORM,"" so I suspected fraud and stopped the transaction thru my credit card. Once I verified that it was FORM, i have been in anightmare secnario with goole pay and Form. There is no way to renew the subscription once it expires. No tabs or buttons or icons in Google pay or the form app to re-subscribe so I can get workouts. Looking forward to hearing a solution so I don't have to switch to another product.",3,1,2.0.5,2021-10-02 07:00:19,"Thanks for your review, Russ. We have since helped you to resolve this issue and thank you for bringing it to our attention. We hope you will enjoy your year of free Workouts in your goggles!",2021-10-07 05:28:00,2.0.5,GooglePlayStore
1,e773889a-3276-4671-b109-6c19fdf0a1a3,Victor Schultz,https://play-lh.googleusercontent.com/a/ACg8ocKgydT3lXaFCKuvn6rh2nQKbaGa-eCxJzeQm4i700Br=mo,"This is a great product and app. As someone who still wants to swim daily but doesn't have time for a team, this is the next best thing to having a coach standing next to you in the pool (just without all the yelling). I'm amazed with the goggles motion awareness and accuracy (my watches will often +/- a leangth randomly). My only suggestion would be to have personalized workout programs available much like other swimming apps. Looking forward to the next (slimmer) version of the goggles!",5,5,2.2.2,2022-01-06 06:52:12,"Thanks for the awesome review, Victor! We're so happy to hear that you love the goggles' accuracy and the motivation they provide! And thanks for the great suggestion, personalized workout programs isn't something you’re able to do at this time, but we have passed your feedback on to our Product team!",2022-01-06 09:35:29,2.2.2,GooglePlayStore
2,7e4fea14-51f3-4175-a7e2-a3437e883f57,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Really great app and goggles. I wish it could time out the display until I get close to a turn so I don't have to always see the numbers when zen and speeding through the water! UPDATED: Thank you for the reply. Leaving the question because it shows how easy this was to do once I found this customization area and how awesome this makes the device! Thank you for making a great product!!!,5,2,1.4.0,2020-01-29 14:09:52,"Thanks for your review, Jerome. Actually, you can switch off the swim dashboard so that you only see the display when turning and resting! In the app, where you configure the dashboards, you can toggle it off there. Hope this helps! - FORM Support
EDIT: (leaving our answer in case someone has the same question). So glad it helped! Thank you!",2020-01-31 04:18:05,1.4.0,GooglePlayStore
3,9f68bee8-8a40-42e1-8919-30180ace5fd7,Andrew Layman,https://play-lh.googleusercontent.com/a/ACg8ocJCayIBOzq8m-LN5bgf6iU4YBGnkdRZDjVJcExCwd5TEg=mo,"In general, it works well. Keeps track of workout and is easy to read. My one gripe is the way the workout builder is set up. You can't do repeat intervals, only rest intervals. You can't set rest times below 10 seconds, so no 25s w/ 5s rest. They've limited the interval distances available. You can't do 225s or 350s if you wanted. Most annoyingly, you can't do a 1650 even though that is the short course yard competition equivalent of the 1500m.",4,0,2.12.1,2023-04-27 13:23:23,"Thanks for your review! We're sorry that it isn't currently possible to create workouts with rests below 10 sec in the Custom Workout Builder. The goggles need a minimum rest in order to track the workout accurately. Rest assured, we've passed your request for rests less than 10 seconds and add more distances on to our product team. Happy swimming!",2023-04-28 03:28:51,2.12.1,GooglePlayStore
4,5f8d94ae-9da1-4cd2-ba25-2936c9c75264,Victor,https://play-lh.googleusercontent.com/a-/ALV-UjVNBdISrUHyphicv0Zue8H0sRTGV5qnlPrt8ofoqr7VXPc,"I originally purchased a pair 12/2019. Despite some early issues the goggles performed flawlessly afterwards. They are a major motivator to swim regularly and stimulate me to better my times. While competitive swimmers are probably all familiar with Form's goggles, I highly recommend them for casual swimmers like me who, at 60, is staying healthy by taking swimming up again after 45 years. Fantastic service, great product.",5,2,2.12.1,2023-04-19 20:23:27,"Thanks for your great review, Victor! We love to have that your FORM goggles are a major motivator to swim regularly and better your times! We're happy to hear that you highly recommend FORM for casual swimmers! Happy swimming!",2023-04-20 02:19:13,2.12.1,GooglePlayStore
5,823d50d7-65a9-42e2-b211-86d55c727f4f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Nice clean ans simple app interface. So far I had 4 sessions and I love it. It is very helpful to see running clock vs specific metrics in goggles. Would be nice to have ability to change metrics in the pool. So far I learned how to set metrics on the phone and synch before a pool session.,4,0,1.4.0,2020-01-30 09:43:08,"Thanks for your review, Sergei! So glad you're finding the goggles and the app useful! I have passed on your feedback about changing the metrics in the pool to the product team. - FORM Support",2020-01-31 04:19:27,1.4.0,GooglePlayStore
6,8df3d7d3-0a75-412f-ab0f-bf1a03e787d9,Gail Barclay,https://play-lh.googleusercontent.com/a/ACg8ocKcF3SGBhrqVHXUeqa4xWjo8fs-ZquSUE1G9ohOTZMi=mo,"The goggles have given me more focus and direction to work on specific elements of training. Real-time feedback on times and heart rates (with polar OH1+ sensor on goggle strap) is great. The ability to easily build your own sessions in the app and transfer them to the goggles is fantastic, and the process is surprisingly straightforward. Definitely a fan!",5,0,3.3.0,2023-12-05 21:38:05,Thanks for your review!,2023-12-07 06:06:07,3.3.0,GooglePlayStore
7,3a38d9ac-ea49-467f-b915-b58fe12b260a,Rick Latham,https://play-lh.googleusercontent.com/a-/ALV-UjUgQCQKkzZpHfE5HGouZyVyhoX2GH0JakrfCKU6PDMzEgyb,"Update: The so continues to improve. The import from TP is excellent. Upgrading to 5* Suggestion: Link up with Magic 5 and get them to produce compatible eye cups/seals. Would be awesome. So far so good. Used the goggles and app for a week. It's been very good. Will come back and give an update after I have used it longer. Could be improved if workouts were CSS based, but I guess I'll get over that small issue.",5,0,3.1.0,2023-10-29 03:00:00,Thanks for your review and your suggestions!,2023-10-31 05:46:16,3.1.0,GooglePlayStore
8,bb632a00-5a8c-4e45-88f5-c08149f5dbf7,Boyan Kalinov,https://play-lh.googleusercontent.com/a/ACg8ocLOGTnE06xV5Tyj98BG5JVtL0nmSUukqurlgPZ0Arny2Q=mo,FORM smart goggles are the coolest thing I've bought for a long time! I rediscovered my interest in swimming with them. The app is also amazing although I don't think it has much value without the goggles.,5,0,3.3.1,2023-12-11 20:21:30,Thanks for your review!,2023-12-13 02:48:33,3.3.1,GooglePlayStore
9,1ce92b0f-bd6a-443f-956d-84f3072f3997,A.J. Brewer,https://play-lh.googleusercontent.com/a-/ALV-UjXHcJ418itdZ94IYfIUh7qr3LY3wJQVYNV5V9p5LcAY6w,"The app just works, syncing the swim from my goggles and uploading to Strava seamlessly. I couldn't ask for more. Update: They removed the ""premium membership expired"" messages from the goggle firmware in their latest update, so I'm reinstating a 5-star review for listening to user feedback.",5,0,3.0.1,2023-09-23 08:12:26,"Thanks for your great review, A.J.! We love to hear that the FORM app just works and the syncing works seamlessly. Happy swimming!",2023-09-26 01:34:43,3.0.1,GooglePlayStore
10,48b01951-083f-4a97-b96a-fe44e1b1ce14,Janelle Ahern,https://play-lh.googleusercontent.com/a/ACg8ocK33IB0YcxHRepCA2Jkb-jyyu57Mf9LT8rvQ8ZBdyw0=mo,"The most recent update doesn't allow me to view lap times within intervals. I can only view the total time for the interval or lap time for every single lap, not traced to intervals.",2,0,3.2.2,2023-11-07 20:02:40,Thank you for reporting this issue. This is a bug the engineering team is working to fix ASAP!,2023-11-08 08:30:54,3.2.2,GooglePlayStore
11,a3edf327-eac4-4ea4-bf75-e3770ffa0579,Thaddeus Parker,https://play-lh.googleusercontent.com/a/ACg8ocJSFsOaOZLmrGwpdHurEoyCJkoZAyCAlqOpQ0reGhpP=mo,"Best swim goggles ever. If you want to understand your swim technique and how to improve it, these goggles are unbeatable.",5,0,3.3.0,2023-12-01 00:52:53,Thanks for your review!!,2023-12-02 03:38:33,3.3.0,GooglePlayStore
12,17abd2f4-95d1-4bd0-9df8-06fdcd6042e9,Cyril Bedat,https://play-lh.googleusercontent.com/a/ACg8ocIFVRXEJo7ACAJnLEuEMbUy_WMg4Acg76-GYRgEivQT=mo,"Super product, I have been using this for 4 months, not going back to traditional goggles. Just empowering to see it all",5,1,3.2.3,2023-11-27 20:39:26,Thanks for your feedback!,2023-11-29 04:07:02,3.2.3,GooglePlayStore
13,bc7d9812-79a5-4bcc-a518-800220099a01,Sean McNeal,https://play-lh.googleusercontent.com/a-/ALV-UjUHxOXhUtjlAqeQglqNEZiJMl6a5KAg-tGM1ssC-QL9Hd9_,Love these goggles and app! Have been using them for 2 years and it has made a huge difference in my training as well as motivation.,5,0,3.2.1,2023-11-04 08:03:14,Thanks for your review!,2023-11-07 02:06:14,3.2.1,GooglePlayStore
14,b6aa302f-7053-4697-9deb-bf3896468230,Veronica Knox,https://play-lh.googleusercontent.com/a/ACg8ocIUeYRdX8PB8bgDKNYaWmiiJ8pkXPbZX9DG65V5lMS0=mo,Still figuring it out the app. Love that I can see my time and laps real time visually my goggles instead of having to stop to see it on a wrist device.,4,0,3.2.3,2023-11-13 03:58:08,Thanks for your review! Please reach out if you need any help!,2023-11-16 01:12:14,3.2.3,GooglePlayStore
15,f45578d0-8e51-481d-be95-7b417138d8bd,Jo Pe,https://play-lh.googleusercontent.com/a/ACg8ocLG761-ga8Njpd4Yeh_6mm2Djzeo6dkR7JzQUXTjaA=mo,"when I open videos on the coaching tab the app crashes:( Ive restarted my phone, cleared cache and uninstalled/reinstalled the app without success",1,0,3.2.3,2023-11-19 01:33:16,"Thank you for your review - sorry to hear that! So that we can look into this, please can you email us at support@formswim.com? Thanks!",2023-11-21 04:34:34,3.2.3,GooglePlayStore
16,14a6c6f8-bbd2-40e2-ad9a-3abad4cf68f7,Anthony O'Neill,https://play-lh.googleusercontent.com/a-/ALV-UjVQDig9Or3CbQ7m2Bm2DeDEEUtvByWygzc5QyZLX2xCr2lJ,"I've had to knock some points off unfortunately. In general, the app is good and the Strava integration is great, but I have to reboot my phone (Pixel 3, Android 11) every single time to sync, which is a pain. Also, it constantly misregisters my strokes as 'mixed' rather than crawl – also a pain. There's still no way to see the current clock time in any of the dashboards (actual time, not minutes swam), which would be really useful for swimmers fitting in a session before work or in a lunch break.",3,2,2.0.4,2021-09-07 23:23:49,"Thanks for your feedback and review, Anthony. There is the time on the screen when you pause the swim but we have let the product team know you'd like to see it during the swim too. For the phone reboot issue and the stroke misidentification issue, please reach out to us and our support team will be happy to help!",2021-09-08 06:32:24,2.0.4,GooglePlayStore
17,5bcc4e46-b3d7-4723-810d-589f175bd88a,Stefan Ger (Stev0w),https://play-lh.googleusercontent.com/a-/ALV-UjXhedRBZCL9JsKLrESY9jBRVj1OImQPt7Jg3mPwY2eVqns,"Everything is working fine. The goggles are really good and the App is also very straightforward and easy to use. One feature that would be great to see is to have the option to sync your own structured workouts from other platforms like TrainingPeaks, and do them on the goggles! I'm sure that would be a feature many swimmers and Triathletes would love to see since many Athletes follow a personalised Plan. Thank you for the great Product. I'm Looking forward to seeing more features.",5,0,2.1.2,2021-11-27 05:25:40,"Thanks for the great review, Stefan! We're happy to hear that you love the goggles and app! That's a great suggestion, while this isn’t something you’re able to do at this time, we have passed your comment to our Product team! Please contact our support team through our site as we’d love to hear more about how this feature would be helpful to you.",2021-11-27 07:59:51,2.1.2,GooglePlayStore
18,cd3e964d-9539-4baf-adc2-6a99908b3ae3,George Tountas,https://play-lh.googleusercontent.com/a/ACg8ocLPEmaA8uBlq-OCH4ipxgxL7zM4sJXxOH3m4vOkv9ZKeQ=mo,"I love the goggles and the app! Spectacular! But why does the app need an internet connection to refresh the results? It should be done locally via Bluetooth. (In the same context, I didn't appreciate receiving a marketing email saying ""now that you've used the goggles a couple of times""... How do you know that? Who else has access to my data and where did I consent to that?) Could we also expect some further integrations in the future? (e.g. Google Fit?)",4,2,1.7.2,2020-11-26 20:55:52,We're glad to hear you love the goggles and the app! Internet is required since your swim data gets synced to our cloud to be processed before being shown in app. We take privacy very seriously and do not share your data. The email you received is from us to gather feedback. We will pass on your suggestion of connecting to Google Fit!,2020-11-27 02:00:17,1.7.2,GooglePlayStore
19,d7d0adf4-b3b7-4d01-b130-3066dc5c75c4,Lennart Gijsen,https://play-lh.googleusercontent.com/a-/ALV-UjXyTKZOY7CylldXH_WZ93A09bSjAfgCOPWZIt7gcl9zLKiN,"The FORM app and goggles itself are of superb quality and I'm a very happy triathlete because of it. They have been fundamental to my training Why two stars then? While, that's all because I feel FORM is changing the rules of the game while we are playing. They have introduced guided workouts (great!) but decided to put it behind a subscription. I disagree with this decision but even worse - the price is completely ridiculous. 19 EUR by month? Really? I seriously thought this was a mistake..",2,3,1.10.0,2021-08-25 06:16:01,"Thanks for your feedback.
Workouts offers an ongoing service with heavy investment in content creation and feature development. We feel it makes sense to provide this as a membership, similar to other connected fitness experiences like Peloton or Zwift, and for a fraction of the cost of a swim coach.",2021-08-26 07:28:39,1.10.0,GooglePlayStore
20,d1dfe681-58f3-4eda-a889-d59492230e97,Ron Frazier,https://play-lh.googleusercontent.com/a-/ALV-UjXqSMgGZGP0y3HKHXJYbbQaKeC9dVqmYr_VqWKCwPCBUio,Simple for looking to swim and monitor efficiency. Haven't tried workouts from them yet.,5,0,2.14.0,2023-07-28 03:44:06,"Thanks for your great review, Ron! We're happy to hear that FORM is easy to use and simple to monitor efficiency while swimming. Please feel free to reach out to us if you have any questions about swimming the guided workouts. Happy swimming!",2023-07-28 03:55:59,2.14.0,GooglePlayStore
21,58f8b1a5-4a1b-40c5-981b-d65e1aa80e1c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Amazing goggles and app, definitely helped me improve my swim times by a lot. Also, since they are kinda pricey (well worth) they are expensive enough to be an extra incentive to swim, cause besides swimming these goggles wont be used anywhere else! Def try em out if you like to swim and want to improve your timing!",5,0,1.3.0,2019-12-05 12:41:54,"Thanks for your review, Eric! - FORM Support",2019-12-12 03:49:51,1.3.0,GooglePlayStore
22,22877263-3310-435b-b2e3-14264df0ca08,Valentina Bonetti,https://play-lh.googleusercontent.com/a-/ALV-UjU_3DilGBbCOolMjKUbUjDiuWf8qX-1Jk7JJH2HkYF9QLI,"Generally good and clear but I frequently have to restart my android phone to synch, and now I'm not able to watch the video tutorials anymore which is a big problem (no idea why, it just says ""we can't open this file type""). If everything worked as expected would be a 5 stars",3,0,2.9.2,2023-01-29 06:32:33,"Thanks for your review, Valentina. We're very sorry to hear that you're having issues syncing your goggles with the app and viewing the video tutorials in the app. We have sent you a follow up email to assist you with these issues and we look forward to hearing from you.",2023-01-31 07:34:30,2.9.2,GooglePlayStore
23,3bfce9c8-41b2-430a-80b3-2948a00de7e0,Tim,https://play-lh.googleusercontent.com/a/ACg8ocJ2DObW2XNcI7qa2QtoR--_K-2p5GVrQ15DbgV1Dk8hdDQ=mo,"Australian customer. When first opening the app and trying to create an account I can't get past the create bio page. Same error regardless of method of registration (Facebook, Gmail, email) ""something went wrong"". Goggles are useless without the app as can't update software. Expensive and disappointing. Don't bother if you don't live in the US.",1,4,1.7.2,2020-12-25 20:12:27,Thanks for your review. We're very sorry to hear about your experience. The app works for all countries where it is downloadable so it sounds like there's a bug that we can help with. Please reach out to us at formswim.com/contact-us so that we can help you with this right away! We look forward to hearing from you.,2020-12-29 08:18:06,1.7.2,GooglePlayStore
24,ba2d2101-c2dc-423f-bda2-58687f88fe5b,Lindsey Morgan,https://play-lh.googleusercontent.com/a/ACg8ocLKABs4VakDxbzCSivNYYngP_GVc8Ngu5jyvqKrx2Zd=mo,Best bit of swim kit I have had for ages.,5,0,3.2.3,2023-11-26 00:25:11,Thanks for your comments - that's awesome!,2023-11-28 04:41:35,3.2.3,GooglePlayStore
25,71769247-47ec-43c6-86d2-e82986b5c82d,Kelly Palace,https://play-lh.googleusercontent.com/a-/ALV-UjUL1TZXy360QRfqiz3cIjNkxzp0m3sJUH2S-sCXx8kfaHE,"Game changer!!! This is amazing! As a lifelong competitive swimmer I wish I had found this 20 years ago. It gives your pace per lap, you have a pace clock in your vision. It is easy to operate, easy to see and the actual goggle itself is watertight and comfortable. I absolutely love it!",5,2,1.10.0,2021-07-14 19:26:27,"Thanks for your awesome review, Kelly! That's amazing!",2021-07-17 05:49:00,1.10.0,GooglePlayStore
26,21b00e30-a243-48a2-bb8e-6fc14e79b725,Pasquale Gurzi',https://play-lh.googleusercontent.com/a-/ALV-UjVaHDKsGbnuPi90ntfO97fEkbOmRLBcd_yfm00WK2ImZ-5N,"Form are the best tech for swimming. This is the most complete app for swimming I believe.. love it. Very easy to use, very clean design and a lot of metrics.. almost every thing you.can immagine is there...",5,1,1.8.0,2021-01-28 02:20:24,"Thank you for your awesome review, Pasquale! So glad to hear you love using the goggles and app!",2021-01-28 05:32:31,1.8.0,GooglePlayStore
27,98a0b174-ac1c-49ab-ada8-87b8606e78ab,Peter Chan,https://play-lh.googleusercontent.com/a/ACg8ocLZsxX1muMa23OaqoDS3S_9FNpQdyTgNXwACDVP4XYF=mo,"I rated a 5. However, the ""swim screen"" should really have a stopwatch counter that resets each turn (even for 25m). Without the polar heart rate monitor, there is little I find useful to display on that ""swim screen"" that couldn't already be displayed on the ""turn screen""",5,0,1.9.0,2021-04-11 13:30:16,"Thanks for your review, Peter. You can choose to see the last length's time on the turn screen and, on the swim screen, you can choose to see either the workout time or the interval timer. You can also turn off the swim screen if you only wish to see the turn screen. Please reach out if you need help!",2021-04-13 02:41:44,1.9.0,GooglePlayStore
28,89bb3771-7ee8-4b3e-a542-3f183f384307,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Not very good. The unit buttons were defective and so I couldn't save my first swim with it. Returned it and waiting for a refund. Quality control is essential for a device like this. Lacking here. Really disappointed.,1,3,1.0.1,2019-09-04 10:54:25,"Thanks for providing more detail. We really apologize that you received a defective device. We take quality very seriously and are happy to replace any defective device. You've been in contact with us at FORM Support for the return of the goggles and requested a refund - please let us know if there's anything else we can do. Fiona, FORM Support",2019-09-05 07:31:30,1.0.1,GooglePlayStore
29,29861c7c-0445-4a81-afe0-2de4c3661624,Henry R Wilson,https://play-lh.googleusercontent.com/a/ACg8ocKyrMYlqyBis7Rl0kxO8uMPW5wPll9kBjkUUMsA5VA=mo,Loving these goggles. I use them for both open water and training with my club. If using for open water I suggest pairing with a garmin watch to get more tracking details but the pool information logged and tracked is amazing. It pushes me harder and keeps my stroke count and pace consistent when I need it.,5,1,2.5.3,2022-06-24 02:03:58,"Thanks for the great review, Henry! We love to hear that the goggles help to push you harder and keep your pace consistent! We're so happy to hear that the goggles work great for both open water and training with your club! Happy swimming!",2022-06-24 04:19:54,2.5.3,GooglePlayStore
30,a216ab42-663d-4954-8ecd-1d8a17e02680,Danielle Hale,https://play-lh.googleusercontent.com/a-/ALV-UjXvQXeRpgePy_gNodbKorXdu7qwRditmPUChKIHzTmb6Q,I love being able to concentrate on my swim stroke rather than keeping count of my laps. I have found it to be very accurate and like being able to sync it to my phone and review all my swims.,5,0,1.7.1,2020-11-07 08:38:52,Thanks for your awesome review!,2020-11-10 01:33:10,1.7.1,GooglePlayStore
31,8d512dd7-2df4-4490-b238-8132fc98e297,Khary Bentick,https://play-lh.googleusercontent.com/a-/ALV-UjVJcdsu1picdBJvNI6sWZsIMuLknL8G17qUQ7p9Cuj7jLc,"Been using this app with the goggles for several months now and it's amazing! I have trouble keeping count of my laps, so having a device that helps keep track as well as give me my pace, makes all the difference.",5,0,2.4.1,2022-05-12 01:27:19,"Thanks for the awesome review, Khary! We love to hear that the goggles and app help you keep track of your laps and pace while you swim! Happy swimming!",2022-05-12 03:11:01,2.4.1,GooglePlayStore
32,c249d381-acb6-414c-bdae-b527922b1e71,G J,https://play-lh.googleusercontent.com/a-/ALV-UjWNg_E1spW9eaQHzraB2XxcgkKPuoaN0K_dx4CVWbOKoEcm,"Works great with the swim goggles! The redesign is excellent. Make sure you enable gps/location services before pairing though, because the app doesn't prompt you.",5,0,2.7.1,2022-08-31 01:25:04,"Thanks for the great review, G.J.! We're happy to hear that the updated version of the app with our new Custom Workout Builder is excellent! We truly value our customers’ comments and passed your feedback on to our product team.
We’re always looking to improve, so thank you for taking the time to share this with us! Happy swimming!",2022-08-31 03:00:20,2.7.1,GooglePlayStore
