Unnamed: 0,date,review,rating,title,platform,thumbs_up_count,review_version,app_version,app
237,2023-09-04 22:08:25,"I have always been a good distance swimmer, but not a fast one. I don't particularly care to race, but I do want to swim faster, improve my techniques, and get the best swim workouts possible. This app helps me do just that. From the technique videos to guided workouts and monthly challenges, my swimpro has coached me to better swimming in a short time. Love this app! It's a totally worthwhile investment!",5,,GooglePlayStore,7.0,7.8.136,7.8.136,myswimpro
238,2018-12-21 06:09:39,"If you never swam competitively ever, or dont want the hassle of doing a quick google search, then this app is okay. However, as a past swimmer and current coach, the sets are somewhat stale, and the majority of them are behind what i would consider to be a decently high paywall. i get the desire to charge for this, but it shouldbt be nearly so expensive, and you shouls feel like you are getting a lot more for your money. The only nice thing i see is that they are color coded",3,,GooglePlayStore,59.0,5.0.4,5.0.4,myswimpro
239,2018-12-21 02:00:08,"While this app seems very progressive, easy to use and like a genuinely good option for learning swimmers, athletes, etc., it costs a lot just to get a training plan! It would be great if I can just learn new techniques and become a better swimmer without having to pay 9.99$ a month - which I can ALREADY learn how to be with my school's swim coach. I don't think it should cost this much for an extra boost.",4,,GooglePlayStore,42.0,5.0.4,5.0.4,myswimpro
240,2018-10-20 13:22:33,"Update: moving down to one star as I've contacted support and received no answer. App seems good, but is very buggy...good workouts, but interface is often crashing or lagging, wont log workout plans, etc. Paid for the Premium subscription and now it wont give me access to premium features...and appears to have deleted a week of data. I'm sure Ill have a heck of a time getting any refund! Needed improvement to keep my business...now Im going to an alternate app.",1,,GooglePlayStore,16.0,4.8.0,4.8.0,myswimpro
241,2020-06-22 19:03:01,"As a beginner swimmer who is working on my strokes and techniques, the app has been helpful in having everything I need in one place. The video demonstration and the workout plan in one place is really helpful for someone who either is new to swimming or is an advanced swimmer. The monthly challenges inside the app also keeps it fun to stay active and hold oneself accountable for it. Adding the dryland training has been very helpful as well.",5,,GooglePlayStore,14.0,7.0.5,7.0.5,myswimpro
242,2022-09-22 23:57:56,"Easy to use, you can pick and choose from available workouts or make your own. Syncs to my Garmin watch so I don't need a pace clock, and can workout without the hassle! After a week of use, it randomly stopped working on my Garmin Fenix 5X. Charlie from MySwimPro's tech support spent the better part of the last few days working to resolve the issue with me. Already loved the app, but the effort put in to fix the issue was outstanding. Great app and an even better team behind it!",5,,GooglePlayStore,6.0,7.8.77,7.8.77,myswimpro
243,2019-10-07 05:50:18,Love this app! I started using this app on the free model! I created my own custom workouts each day and then loaded them onto my watch! I eventually decided to try the 7 day free trial to use all of the features and I wish I had done it sooner! The workout of the day is what I normally do and I love being able to track my split times and see my improvement over time! Customer support has been super helpful with getting me set up on my subscription( -had some issues with the play store),5,,GooglePlayStore,23.0,5.0.62,5.0.62,myswimpro
244,2019-11-01 10:54:52,"Swim workouts seem legit, however no real guidance to do the test workouts to get the dynamic pacing in place. Analysis is extra, 50, 100 or 150 bucks... But no explanation what that entails. No coach profiles to see what their credentials are. The Garmin IQ app integration is worthless, doesn't work at all. After some research this is an ongoing issue for over a year. App is a good concept. Just not refined enough for 119 a year. There are free alternatives that work flawlessly.",1,,GooglePlayStore,10.0,5.1.2,5.1.2,myswimpro
245,2023-12-15 19:19:31,"The only reason I can't give 5 stars it's because the Apple version still looks bether than the Android one, but I hope this change in the future. I hed some issues with the app in the beginning due to some bugs in the Android version, but they were promptly and quickly solved after I've reported the issues to the support team, which was great in quicly leting me know that the issues was fixed. This was a good demonstration of how much they value their customers, I'm very happy with that.",4,,GooglePlayStore,0.0,7.8.152,7.8.152,myswimpro
246,2023-12-03 23:13:48,Absolutely useless..app is only for swimmers who already know all the lingo and the layout of the workouts..like a foreign language.. nothing broken down or simplified for the beginner.. and the 'helpful' videos don't even play.. wouldn't even be worth it if it was free,1,,GooglePlayStore,4.0,7.8.149,7.8.149,myswimpro
247,2023-08-01 14:26:11,"Experience is very lacking in Android. The app is buggy, and missing many basic features available on iOS. My activities don't load with split information on them, except for the very first split. Every time. I can properly see every split in the Garmin app so it's not an issue with the watch. Swim times don't update at all by themselves despite saying they do. In iOS you even get an applause animation telling you if your progress. Feed only shows my own activities, doesn't show my friend's",2,,GooglePlayStore,4.0,7.8.132,7.8.132,myswimpro
248,2023-12-04 23:15:09,"Bought the app for the instructional technique videos. Turns out they don't even work on my phone. Just see a black screen with an ""X"".... Video never loads. Useless to me.",1,,GooglePlayStore,0.0,7.8.149,7.8.149,myswimpro
249,2023-11-05 16:38:39,"You can see nothing without paying money. Can't open even one workout. Every page, every button redirects to the subscription page. It's not the app, it's just a paywall simulator",1,,GooglePlayStore,4.0,7.8.145,7.8.145,myswimpro
250,2023-11-14 03:32:06,Ok so content wise: very interesting workouts and nice useability. However there are sooo many frequent issues with the app that it is just not fun anymore. It gets frustrating having to use the app,1,,GooglePlayStore,0.0,7.8.147,7.8.147,myswimpro
251,2023-08-22 07:37:05,Really like the app for the most part. Especially with how it looks on all of their youtube videos. But that is on ios. Going to have to unsubscribe due to the fact that it always seems that the android and garmin integration takes a back seat to Apple. I have been using premium for ~1/2 a year waiting with the promise the android and garmin integration will catch up to Apple. And have not seen it yet. The app looks great on the Apple devices but looks old and clunky on Android and garmin.,2,,GooglePlayStore,5.0,7.8.135,7.8.135,myswimpro
252,2023-08-25 15:51:50,"Hello ,there I would like to talk about this app ,I just understand that if you don't have a credit card or money you aren't not able to get experience of this app . It's okay your app's styles design, programs look attractive, however, at least for costumers there might be free versions like a trial ,and if the costumers or people like it they'll already try to upgrade and get the premium, to sum up , do something in this app free without requiring a credit card 💳.",3,,GooglePlayStore,6.0,7.8.135,7.8.135,myswimpro
