,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,platform
0,2b1d9175-0b64-403d-8f94-713a5866b68c,Kelly Kimbler,https://play-lh.googleusercontent.com/a-/ALV-UjUtslVA2lqAa941eXJakhSU2e8Ov5ZmblZcd8YRNWTb7O0Y,"I have always been a good distance swimmer, but not a fast one. I don't particularly care to race, but I do want to swim faster, improve my techniques, and get the best swim workouts possible. This app helps me do just that. From the technique videos to guided workouts and monthly challenges, my swimpro has coached me to better swimming in a short time. Love this app! It's a totally worthwhile investment!",5,7,7.8.136,2023-09-04 22:08:25,,,7.8.136,GooglePlayStore
1,853d9c32-c486-43fd-a6e3-b995e7134e51,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"If you never swam competitively ever, or dont want the hassle of doing a quick google search, then this app is okay. However, as a past swimmer and current coach, the sets are somewhat stale, and the majority of them are behind what i would consider to be a decently high paywall. i get the desire to charge for this, but it shouldbt be nearly so expensive, and you shouls feel like you are getting a lot more for your money. The only nice thing i see is that they are color coded",3,59,5.0.4,2018-12-21 06:09:39,,,5.0.4,GooglePlayStore
2,ea542721-af02-4ef2-a41b-ad5e2e23e303,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"While this app seems very progressive, easy to use and like a genuinely good option for learning swimmers, athletes, etc., it costs a lot just to get a training plan! It would be great if I can just learn new techniques and become a better swimmer without having to pay 9.99$ a month - which I can ALREADY learn how to be with my school's swim coach. I don't think it should cost this much for an extra boost.",4,42,5.0.4,2018-12-21 02:00:08,,,5.0.4,GooglePlayStore
3,5fc03662-1e96-45f8-bcf2-9e8cae07db74,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Update: moving down to one star as I've contacted support and received no answer. App seems good, but is very buggy...good workouts, but interface is often crashing or lagging, wont log workout plans, etc. Paid for the Premium subscription and now it wont give me access to premium features...and appears to have deleted a week of data. I'm sure Ill have a heck of a time getting any refund! Needed improvement to keep my business...now Im going to an alternate app.",1,16,4.8.0,2018-10-20 13:22:33,"Hi David, we're sorry you're having trouble with the app.  It seems that this may have been an issue with using 2 separate accounts used for login.  We've refunded the purchase - please feel free to use the free features in the app.",2018-10-23 23:12:46,4.8.0,GooglePlayStore
4,f581bb8a-3c89-4a37-8336-9dcf404cc729,Ola K,https://play-lh.googleusercontent.com/a-/ALV-UjX0XWDf9ZcbZ-sL0U4ig3Wike2JtEAhXdF14G3kupMF_rI,"As a beginner swimmer who is working on my strokes and techniques, the app has been helpful in having everything I need in one place. The video demonstration and the workout plan in one place is really helpful for someone who either is new to swimming or is an advanced swimmer. The monthly challenges inside the app also keeps it fun to stay active and hold oneself accountable for it. Adding the dryland training has been very helpful as well.",5,14,7.0.5,2020-06-22 19:03:01,,,7.0.5,GooglePlayStore
5,8a1b6e3f-d4a9-411b-918d-6131053a66dd,Devin Lewis,https://play-lh.googleusercontent.com/a/ACg8ocId8tCKYzp05TjRgSvGmnvhGm9UW0k7g3r-kkWR6Kmo=mo,"Easy to use, you can pick and choose from available workouts or make your own. Syncs to my Garmin watch so I don't need a pace clock, and can workout without the hassle! After a week of use, it randomly stopped working on my Garmin Fenix 5X. Charlie from MySwimPro's tech support spent the better part of the last few days working to resolve the issue with me. Already loved the app, but the effort put in to fix the issue was outstanding. Great app and an even better team behind it!",5,6,7.8.77,2022-09-22 23:57:56,,,7.8.77,GooglePlayStore
6,6930b38f-178a-4422-9619-8fabe7516506,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Love this app! I started using this app on the free model! I created my own custom workouts each day and then loaded them onto my watch! I eventually decided to try the 7 day free trial to use all of the features and I wish I had done it sooner! The workout of the day is what I normally do and I love being able to track my split times and see my improvement over time! Customer support has been super helpful with getting me set up on my subscription( -had some issues with the play store),5,23,5.0.62,2019-10-07 05:50:18,,,5.0.62,GooglePlayStore
7,6b6fc886-17c6-438f-bb81-f51b5d387ad2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Swim workouts seem legit, however no real guidance to do the test workouts to get the dynamic pacing in place. Analysis is extra, 50, 100 or 150 bucks... But no explanation what that entails. No coach profiles to see what their credentials are. The Garmin IQ app integration is worthless, doesn't work at all. After some research this is an ongoing issue for over a year. App is a good concept. Just not refined enough for 119 a year. There are free alternatives that work flawlessly.",1,10,5.1.2,2019-11-01 10:54:52,,,5.1.2,GooglePlayStore
8,e74e1492-d099-4fde-9f60-27414cfce381,Higor Nunes,https://play-lh.googleusercontent.com/a-/ALV-UjVLAHk8qGgsgiKwSvjr9_HYVj399qIgc-zJupOeXsXn3yY,"The only reason I can't give 5 stars it's because the Apple version still looks bether than the Android one, but I hope this change in the future. I hed some issues with the app in the beginning due to some bugs in the Android version, but they were promptly and quickly solved after I've reported the issues to the support team, which was great in quicly leting me know that the issues was fixed. This was a good demonstration of how much they value their customers, I'm very happy with that.",4,0,7.8.152,2023-12-15 19:19:31,"Our technical team has solved this problem and will be out on the next update this week. Once out, please update your app to the latest version and these issues will be resolved. If you have other problems, please contact us at support@myswimpro.com or use the in app messenger.",2023-12-13 00:51:40,7.8.152,GooglePlayStore
9,44c81a9f-92ff-4235-bfce-c19fc1149263,David Sheehan,https://play-lh.googleusercontent.com/a-/ALV-UjW8df_9tpQE8PisWoPlNEGxKWMEyzqgfKz6xOJ_a2cc-F8,Absolutely useless..app is only for swimmers who already know all the lingo and the layout of the workouts..like a foreign language.. nothing broken down or simplified for the beginner.. and the 'helpful' videos don't even play.. wouldn't even be worth it if it was free,1,4,7.8.149,2023-12-03 23:13:48,,,7.8.149,GooglePlayStore
