Unnamed: 0,date,review,rating,title,platform,thumbs_up_count,review_version,app_version,app
1197,2023-07-26 04:50:29,"I was very excited about this app, but it's totally unreliable. While it did work multiple times, when I used it to record my most important swim of the year (a 5.2km open water swim) on Galaxy watch 5, it failed to sync/upload the data. The data is there with an upload button, but it gives ""upload unsuccessful"" every time. I contacted support, but they were totally unhelpful: their recommendation was to manually enter total time/distance (and accept losing all pace & heart rate data).",1,,GooglePlayStore,9.0,5.4.3,5.4.3,swim-com
1198,2021-03-30 22:59:56,"I have used this app to record swims, manually, through my USMS FLOG, and from my Swim2 watch through Garmin Connect. Mostly this was seamless, but when it wasn't the support team was a big help. The support team is super. They are responsive and listen to suggestions well. This is the only app that I know of, where I can fix the mistakes that I made using my watch in the pool. I can also adjust when the watch reads my stroke wrong. This is the go to app for looking at what I actually did.",5,,GooglePlayStore,2.0,4.4.0,4.4.0,swim-com
1199,2021-02-19 02:27:16,"I'd give this a 4.5 if I could. It's not a perfect app, there are some things that could be changed (a more direct way to get to your active challenges, for one). However, it works well with pretty much any fitness tracker out there, syncs nicely with Garmin/Strava. The monthly challenges are very motivating. Making the progress bar for the challenges a bit more prominent would be a nice change, too. All in all, though, this is a great app for us swimmers.",5,,GooglePlayStore,10.0,4.3.0,4.3.0,swim-com
1200,2019-11-21 16:05:15,"I would love it if it was accurate. I am not sure if the problems come from my swimming style, the software, or the hardware (using a Fossil Carlyle). In addition, I would love to have the following features: - the ability to manually edit/delete swimming logs (to help correct accuracy) - clear documentation on how to connect to Google Fit ( I see the option within account settings but haven't figured out how to use it) - ability to pause workouts (improve UX to make it easily discoverable)",2,,GooglePlayStore,16.0,2.6.2,2.6.2,swim-com
1201,2020-01-23 23:15:32,"Syncing with a watch is a horrible experience. The login page does not come up every time on my phone. I've tried opening the Swim app on my phone and the WearOS app. But could only get the login screen to come up once. Then once it came up, found it the login screen doesn't include integration with my Google account. Had to delete my account and use a regular email account. Now I can't get the login screen to come back up.",2,,GooglePlayStore,12.0,2.6.8,2.6.8,swim-com
1202,2019-06-02 02:00:40,"It's simply has too many issues, the watch app freezes and is a massive battery drain, the phone app freezes, and the website doesn't aggregate and average the daily, weekly and yearly distances. You have no idea what I have to go through to get the swims logged. I wish I was better at Excel and I would write a program myself.",1,,GooglePlayStore,1.0,,,swim-com
1203,2019-05-12 23:01:35,"I have a Samsung Galaxy Watch 46mm. currently I'm swimming in a 38ft private pool. I swim laps for a mi several days a week. I don't do swimmers turns. the yardage measuremeant is way off. it might be my fault as I don't do a snap turn but touch the wall turn and take off instead of maybe pausing and starting back up. I would like to see this app allow for brief break each lap, to let water out of goggles, take a couple breaths, etc. example swam looked at watch it said 100yds swam more still 100",2,,GooglePlayStore,3.0,2.4.4,2.4.4,swim-com
1204,2021-12-17 07:56:32,"Doesn't record all your swims even though the same swims are documented on other apps. I just swam yesterday and it didn't log on this app, but logged to Garmin and Strava just fine as usual. Talked to support and got a weak response that basically made it seem like the reason it didn't record my swim was because I was trying to record something other than a swim. Nice. No..... your app just doesn't work as good as it should. Deleting.",2,,GooglePlayStore,8.0,4.9.5,4.9.5,swim-com
1205,2020-10-27 19:59:06,Got Issues This app worked great for over a year on two different Samsung watches. The last month however it has failed miserably. No as I am trying to finish my swim the app stops working and fails to remember my swim. The last 4 to 5 swims nothing. I go to history and it is gone. Please help love the app but doesn't work anymore. (Samsung Active 2),1,,GooglePlayStore,7.0,3.9.5,3.9.5,swim-com
1206,2019-01-03 20:14:54,"I got to workout for the last months of 2018 using this app and achieved my resolution to swim more that year. This 2019, I'm upping my game!! It's pretty awesome to choose workouts then try them out to find what's comfortable, doable and challenging. I can't bring my phone to the pool so I download, print, secure in a waterproof pouch and go. And it auto syncs with my Garmin Vivoactive HR.",5,,GooglePlayStore,2.0,2.3.6,2.3.6,swim-com
1207,2023-08-20 16:05:44,"I have and use both a Garmin and Suunto sports watches (and Strava), and my swim data transfer seamlessly to this app. The app gives nice and clear visual display of your swim statistics, and is very easy and intuitive to use. However, I should perhaps point out that I'm only a recreational swimmer, so my needs are definitely satisfied way sooner than some pro's.",5,,GooglePlayStore,1.0,5.4.3,5.4.3,swim-com
1208,2023-09-28 20:01:37,"Overly obsessed with what pool you are in. It interferes with basic functionality. Also doesn't sync with Google fit, just allows you to export data that can be imported. Waste of time and effort.",2,,GooglePlayStore,2.0,5.4.5,5.4.5,swim-com
1209,2023-11-21 21:42:13,Would have been useful if it counted well but it's way off - wrong by 3 laps 8n 25m pool at 1100 m distance. Mileading at best!,1,,GooglePlayStore,0.0,5.4.8,5.4.8,swim-com
1210,2023-10-10 05:32:00,Terrible I can't even sign up because it says please accept the terms and conditions but doesn't give me the option to accept. So I can't even try it. I'm sure it's not good if you can't even create an account.,1,,GooglePlayStore,0.0,5.4.6,5.4.6,swim-com
1211,2022-08-01 12:01:08,"Inaccuracy is really an issue, especially when I don't see any logical reasoning. Out of 4 routine swims, three were not right in distance, none of the four were correct in identifying strokes nor the change in laps. Also, syncing with Google Fit is useless. 2 heart points after a 1km swim without being able to edit is just wrong! Your app also thinks I rest half of my swim time. Time for the team to invest in app accuracy and take a break from making up workouts!",2,,GooglePlayStore,5.0,5.1.5,5.1.5,swim-com
