,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,platform
0,4156bc0e-540a-4c38-81b3-50b10fe809b5,Peter Borosan,https://play-lh.googleusercontent.com/a-/ALV-UjVxdMICrRV2CsfRg8brv3o1VIl5IXXolI2zTfHDJJM4C_1S,"I was very excited about this app, but it's totally unreliable. While it did work multiple times, when I used it to record my most important swim of the year (a 5.2km open water swim) on Galaxy watch 5, it failed to sync/upload the data. The data is there with an upload button, but it gives ""upload unsuccessful"" every time. I contacted support, but they were totally unhelpful: their recommendation was to manually enter total time/distance (and accept losing all pace & heart rate data).",1,9,5.4.3,2023-07-26 04:50:29,,,5.4.3,GooglePlayStore
1,a192d0d0-7de4-4efd-8f8b-48ff7f34a78c,Marieke Thayer,https://play-lh.googleusercontent.com/a-/ALV-UjW0c41-hAVjGn2H19G4lW2C1G8yIRmi5s4neSjWAEknJ5s,"I have used this app to record swims, manually, through my USMS FLOG, and from my Swim2 watch through Garmin Connect. Mostly this was seamless, but when it wasn't the support team was a big help. The support team is super. They are responsive and listen to suggestions well. This is the only app that I know of, where I can fix the mistakes that I made using my watch in the pool. I can also adjust when the watch reads my stroke wrong. This is the go to app for looking at what I actually did.",5,2,4.4.0,2021-03-30 22:59:56,,,4.4.0,GooglePlayStore
2,92496be8-3c86-4a7d-8dba-b483afd45328,John W,https://play-lh.googleusercontent.com/a/ACg8ocJ5UaoGJJViUY9_tAbebl6khMhfNUbouRtXYo_fwt4W=mo,"I'd give this a 4.5 if I could. It's not a perfect app, there are some things that could be changed (a more direct way to get to your active challenges, for one). However, it works well with pretty much any fitness tracker out there, syncs nicely with Garmin/Strava. The monthly challenges are very motivating. Making the progress bar for the challenges a bit more prominent would be a nice change, too. All in all, though, this is a great app for us swimmers.",5,10,4.3.0,2021-02-19 02:27:16,,,4.3.0,GooglePlayStore
3,82bc7177-3b1c-45d4-9155-9e270cbef865,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I would love it if it was accurate. I am not sure if the problems come from my swimming style, the software, or the hardware (using a Fossil Carlyle). In addition, I would love to have the following features: - the ability to manually edit/delete swimming logs (to help correct accuracy) - clear documentation on how to connect to Google Fit ( I see the option within account settings but haven't figured out how to use it) - ability to pause workouts (improve UX to make it easily discoverable)",2,16,2.6.2,2019-11-21 16:05:15,,,2.6.2,GooglePlayStore
4,570445aa-918b-4732-948b-27ca40f3c067,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Syncing with a watch is a horrible experience. The login page does not come up every time on my phone. I've tried opening the Swim app on my phone and the WearOS app. But could only get the login screen to come up once. Then once it came up, found it the login screen doesn't include integration with my Google account. Had to delete my account and use a regular email account. Now I can't get the login screen to come back up.",2,12,2.6.8,2020-01-23 23:15:32,,,2.6.8,GooglePlayStore
5,fa93e2d2-654e-439c-983a-0717abf7fe9d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"It's simply has too many issues, the watch app freezes and is a massive battery drain, the phone app freezes, and the website doesn't aggregate and average the daily, weekly and yearly distances. You have no idea what I have to go through to get the swims logged. I wish I was better at Excel and I would write a program myself.",1,1,,2019-06-02 02:00:40,,,,GooglePlayStore
6,69f8754f-d0de-4f9c-bbc9-113cb3189cc3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I have a Samsung Galaxy Watch 46mm. currently I'm swimming in a 38ft private pool. I swim laps for a mi several days a week. I don't do swimmers turns. the yardage measuremeant is way off. it might be my fault as I don't do a snap turn but touch the wall turn and take off instead of maybe pausing and starting back up. I would like to see this app allow for brief break each lap, to let water out of goggles, take a couple breaths, etc. example swam looked at watch it said 100yds swam more still 100",2,3,2.4.4,2019-05-12 23:01:35,,,2.4.4,GooglePlayStore
7,6069fe24-146e-478c-b79d-eb2b033b3e38,Deebo Mac,https://play-lh.googleusercontent.com/a-/ALV-UjWTYZ-J71QV3Y3zSpLi-S_7SwlwNrZKPh-vj4wmCdsN71yQ,"Doesn't record all your swims even though the same swims are documented on other apps. I just swam yesterday and it didn't log on this app, but logged to Garmin and Strava just fine as usual. Talked to support and got a weak response that basically made it seem like the reason it didn't record my swim was because I was trying to record something other than a swim. Nice. No..... your app just doesn't work as good as it should. Deleting.",2,8,4.9.5,2021-12-17 07:56:32,,,4.9.5,GooglePlayStore
8,75838737-7c1c-4c12-98c4-836ec8a80d62,Alex McKinstry,https://play-lh.googleusercontent.com/a/ACg8ocLpd06H01BrXXOM7QlJlsSwHj_IiAtN_ZLlKYSFH5Si=mo,Got Issues This app worked great for over a year on two different Samsung watches. The last month however it has failed miserably. No as I am trying to finish my swim the app stops working and fails to remember my swim. The last 4 to 5 swims nothing. I go to history and it is gone. Please help love the app but doesn't work anymore. (Samsung Active 2),1,7,3.9.5,2020-10-27 19:59:06,,,3.9.5,GooglePlayStore
9,6bec0571-538b-4e32-8e32-6aae661ed5b8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I got to workout for the last months of 2018 using this app and achieved my resolution to swim more that year. This 2019, I'm upping my game!! It's pretty awesome to choose workouts then try them out to find what's comfortable, doable and challenging. I can't bring my phone to the pool so I download, print, secure in a waterproof pouch and go. And it auto syncs with my Garmin Vivoactive HR.",5,2,2.3.6,2019-01-03 20:14:54,Great to hear and good luck in achieving your goals in 2019!,2019-01-04 08:49:49,2.3.6,GooglePlayStore
