,date,developerResponse,review,rating,isEdited,userName,title,platform
0,2018-10-15 14:50:36,"{'id': 6236997, 'body': 'Thank you for your feedback. We recently released version 2.3.2 which fixed the tracking issue for Apple Watch users. In addition, we recently (Friday of last week) completed revision of our technology roadmap and feature set. Expect to see several changes implemented over the next 60 days. These changes will significantly enhance our analytics capabilities including more detailed breakdown by different parameters. \n\nPlease keep sharing your feedback and ideas for enhancement. We are listening and engaging with our users to help develop our roadmap and beta test changes.', 'modified': '2018-12-04T13:37:26Z'}","After using this app for two years on a Pebble watch, it was hit or miss.  Moving on to an Apple Watch 2, the interface was better but motion tracking and distance recording was only slightly better.  Recent updates under iOS 12 and WatchOS 5 give much better tracking in the pool.  I still get occasional phantom laps added but overall, length tracking is very good.

The app still cannot distinguish my breaststroke from freestyle.  So frustrating. 

I wish the app allowed better data analysis of multiple workouts over a period of months, like being able to chart swolf for all of my swims.  I’m not a competitive swimmer so many of the apps features don't appeal to me.  I just don't understand why I cant look at the pace of all my freestyle sessions over time and see if I’m improving.",4,False,ENC iOS Reviews,Improved tracking but data analysis still weak,AppStore
1,2019-07-23 14:42:06,"{'id': 9921973, 'body': 'Thanks for the critical feedback. We are always looking to improve the app and make it a better experience for our users. Here are some quick replies:\n\n- Search design issue: great point and it\'s something we\'ve discussed. Your input has prompted us to move this to \'top of the stack\' so it will be addressed in our next sprint.\n\n- Pool: we have tens of thousands of pools but we do occasionally miss some. You can add your pool by going to the Swim.com (desktop version), clicking on pools and then ""Add a Pool"".\n\n- Health Data: can you drop us a line at support@swim.com so we can looking into what\'s going on?\n\n- Privacy: we take our user\'s privacy very seriously and provide those settings so that users can control the visibility of their profile, participation on leaderboards and more. Let us know if you feel something is off here. ', 'modified': '2019-07-30T12:14:16Z'}","Strictly from an App Design standpoint, it breaks several of Apple’s UI Design Recommendations. For instance, when searching for a location, the “X” should clear out the text in the search field, because that is the standard for this UI, but in this case, it closed the location settings all together.  There are lots of other clunky and unpolished UI decisions that make it hard for me to want to engage with the app as well.  

In functionality, my pool isn’t listed so all of the leaderboard functionality is not going to work for me.  I’m surprised that it asked to read my health data, but didn’t go ahead and import all of the swims that are already recorded into their application, especially when it claims that breaststroke is my least swam stroke (it’s actually fly).

Lastly, this has a very social media feel to it in some places, especially as I was going through the privacy settings, so if that isn’t your thing (like it isn’t for me), make sure you turn your profile to private.",3,False,永魅礼の月明かり兎,"It has potential, but still needs work.",AppStore
2,2023-04-25 01:11:37,"{'id': 36195179, 'body': ""Hello Boymom4367. We appreciate your feedback and would like to apologize for any inconvenience caused by Swim.com's stroke detection feature. It is possible that the algorithm may incorrectly identify a butterfly stroke as freestyle due to differences in individual stroke technique and arm movements.\nWe are actively investigating this issue and working to enhance the accuracy of our stroke detection system. We recommend trying alternative wrist placement and adjusting your stroke technique to determine if it results in better detection accuracy. Thank you for using Swim.com, and please don't hesitate to reach out if you have any additional questions or concerns.\n\n\n\n\n\n"", 'modified': '2023-04-27T04:43:18Z'}","They’ve made some good improvements to the app over the last few years. I like the drill setting, and how it’s easy to edit workouts. However, stroke detection needs work. I’m a pretty experienced swimmer, with really good form, but it still thinks my butterfly is freestyle, and sometimes thinks my backstroke is breaststroke. I’m not sure if this is a bug with Apple Watch 8 (stroke detection was better on my series 5). It is good with lap count, but could be improved in recognizing sets better…even tho I do flip turns and long sets, it still divides sets into smaller sets. 

Still, I do like the improvements they’ve made in the last few years. Keep working on it.",4,False,Boymom4367,"Good, but a little wonky with stroke detection",AppStore
3,2020-07-28 14:19:24,"{'id': 16984534, 'body': ""You are an inspiration to all of us! Please reach out to us at marketing@swim.com as we'd love to learn more about your story."", 'modified': '2020-07-30T15:41:46Z'}","At 70 yo I sometimes ( no, all the time) need motivation in these times to get up and do something healthy   Keeping track of my daily yardage and checking cumulative weekly, monthly and annual yards against others in similar age groups keeps me getting up early and driving daily to the Y.  Having just learned to swim last year i can keep track of how my speed has been increasing.  I’m still a tortoise but it’s getting better.   Really place a lot of credit for keeping with this new hobby on this app.  Just wish the app was better able to discern between my backstroke and breaststroke.  Looks like I do a lot of breaststroke ( which I never do); preferred stroke is backstroke which I do a lot of.  Other than that I have very few complaints bout this app.",5,False,cupcake-maker,Use it for motivation,AppStore
4,2018-03-04 18:09:33,,"This app has all the potential of being great but the inaccuracy of the total distance swam makes it annoying. Additionally, if you’re a  consistent long distance swimmer (+4,000meters at a time) it has a high likelihood of crashing. I’m part of a club team and we have “wall tap counters” (every time you touch the wall it counts the lap you’re on) we found the app to be about 10-20% off on the total number of laps swam. So...I have a solution for you. The reason why the app counter is wrong is because it doesn’t take into account that some swimmers have longer “strides, glides, wingspan” then others, one way you could fix that is by allowing the app to calibrate individual swimmers. At the start of your app, you should have swimmers swim 25-50 meters so that the App gets used to how many arm lengths it takes for that particular swimmer, making the app more accurate.",2,False,TheeFrenchie,Inaccurate/buggy,AppStore
5,2019-11-16 21:25:49,,"Installed this app because I was looking for some better views on my watch of laps, time, heart rate, etc when swimming. The Apple Workout app wasn’t cutting it for me. The watch views are exactly what I was looking for but I noticed after a couple swims that my active calories are significantly under reported compared to the Apple app. When comparing heart rate data from other workouts it seems this app is under reporting rather than other apps over reporting. The difference is significant for a 30 minute workout, about half the reported calories.",4,False,Jdavison91,Good Watch Views; Questionable Activity Tracking,AppStore
6,2018-07-06 13:04:57,,"I want to like this app. It has potential, and I’ve stuck with it for the past three years. Unfortunately, the bugs are overwhelming. Even something as simple as drill mode, where the app doesn’t need to do anything except what it is told by the user, fails to record proper distance and time. Not to mention the latest “upgrade” to drill mode that uses force touch to control it at every interval. In water, force touch doesn’t work that well, so it is a nightmare to use. What’s more, half of the time the workouts don’t upload correctly from an Apple Watch. Spend more time on bug fixes rather than continuing to push forward useless and detrimental features. Make the app solid and reliable first, then focus on upgrades.",2,False,yzmotoxer807,Bug fixes > Useless features,AppStore
7,2022-12-05 14:40:28,"{'id': 33525191, 'body': ""Hello Rob,\r\nThank you for contacting Swim.com. \r\nWe regret that you are having this issue. \r\nPlease kindly check the updated version 5.2.4 for the problem that was fixed.\r\nPlease send your feedback via the Support feature in the swim.com app's Settings for additional assistance. Have a great day!"", 'modified': '2022-12-05T02:03:27Z'}",I like this app because it’s the only one I know of that lets me edit back in my kick set yardage after the workout is done. There is no choice for a kick set in the editing section so I call them a drill. App worked well until recently then suddenly stopped uploading data to Apple health. After about one month an update was released and now everything is working properly again.,4,True,Rob 61,Stopped uploading to Apple health,AppStore
8,2021-02-08 22:44:13,,"Easy to use and manually add my yardage. I have a iWatch but can't figure out how to use it with this site
When I click the Leaderboard, it only shows I've done 75yds so I'm obviously doing something wrong as my 3x per week swims are close to 7,500.  I'm 67 yrs of age and since covid pandemic have been away from synchronized swimming so loving the pool again 
Not techi but at least I can manually enter my yardage
Reported my pool as having changed names and it was quickly corrected!   Thank you!",5,False,lee naa kaa,Enjoy tracking,AppStore
9,2017-11-22 05:16:33,,"The new iPhone app format update is the worst user interface I've ever seen. Lots of wasted space with useless bar graphs and useless lifetime totals, difficult to see your last workout data, and hard to read it when you find it. And a new focus on offering workouts but if you don't need them you're going to have to constantly navigate around that. The Apple watch workout app shows the real data a million times better. Hopefully they'll fix it because their Apple watch app is better than the workout one. 

Lastly, still useful from an old review:
There are no weekly totals, no analysis of improvement. If they improve all this stuff it could be useful.",1,False,01jeremy,Needs work on interface in phone app,AppStore
10,2021-03-24 16:57:10,"{'id': 21930042, 'body': ""Thanks for the great review and we're glad to have you as part of the Swim.com community!"", 'modified': '2021-03-29T15:51:18Z'}",Communicated with John who was very helpful. App has always correctly recorded times for me for the almost two years that I’ve used it. But one swim recently showed correct total time but recorded each length as exactly same time - obvious error. John guided me through a few steps and consulted with his engineer. Problem seems to have fixed itself. I appreciated John’s concern and his checking in with me later to verify app was working fine now.,5,False,/Bob L/,Weird record on one particular swim,AppStore
11,2017-11-06 17:47:34,,This app is great when it works. Just after the new iOS update the app has been buggy and lost two of my swims. I️ like that it handles rest between intervals and sets. I️ also like to set the drill mode. The Apple Watch workout app tracks in the background and it adds to your rings.  Ending a workout can be a pain since the way the Apple Watch and app are relying on pressure. Did a 4000 yard workout with my masters group and the app locked up and lost the workout. It needs serious fixes and an update. May go back to apples fitness app which is harder to handle I️. The water for drill sets.,3,False,play dw,Good app,AppStore
12,2019-11-20 05:54:27,,"I haven’t even gotten around to using this app in the pool because the interface/settings are extremely cumbersome. This app won’t save your preferences on workout searches; it defaults back to the preferences you input when you set up your account. I made the “mistake” of setting up preferences that turned out to be very restrictive and only showed one workout. If I want to search for a new workout, I have to change my preferences every time I navigate away from the Workouts tab. If I favorite a workout after fiddling with my preferences for the umpteenth time, I have to change my settings yet again when I want to view those workouts.",1,False,pdxcatlady,Terrible functionality,AppStore
13,2020-02-19 02:55:25,"{'id': 11623552, 'body': ""Hi and thanks for the feedback. Here's some quick responses but happy to help more if you send us a msg at support@swim.com.\n\n\nStrava: we released an integration with Strava a few weeks ago. Check this out: https://blog.swim.com/swim-com-labs-strava-integration/\n\n\nHR: good suggestion. This is definitely on the roadmap.\n\n\nEditing Swims. You can do this! Just touch the pencil icon in the upper right-hand corner when viewing the swim details."", 'modified': '2019-11-03T22:00:04Z'}",Swim is doing a lot better with updates: a few things that I would love improved - for some reason integration with strava has the pace graph all messed up. Only when I edit my swim in the swim app in any way and then post to strava does the pace graph look like my actual swim. Also would love for the heart rate connection to strava be a lot better - there are tons of gaps that equate to zero when they should probably just be connected by a line,4,True,sophieswim,Strava integration could be better,AppStore
14,2021-08-22 18:35:04,,This has been happening to me in the past month at least one a week and I was hoping the new update would fix this but it happened again today and I lost all my data! I was doing a drill and I was ready to do my last 100 yards and I looked at my watch to check my pace and the app was back to the start as if I had not just swim 2500 yards.,4,False,Steffiecab,Stops working during swim,AppStore
15,2023-01-17 13:38:53,,"This app works. I am not sure where all the complaints come from. It counts laps, yards/meters, shows heart rate in one place. The new redesign on AW is just perfect. Especially the color coding. The stats on phone seems to be a little “cluttered” but still show all that is needed. This review comes from a guy with over 40 years of experience swimming. To developers, keep up the great work. Thanks!",5,False,smolda,Great app for swimmers!,AppStore
