,score,content
0,5,"I have always been a good distance swimmer, but not a fast one. I don't particularly care to race, but I do want to swim faster, improve my techniques, and get the best swim workouts possible. This app helps me do just that. From the technique videos to guided workouts and monthly challenges, my swimpro has coached me to better swimming in a short time. Love this app! It's a totally worthwhile investment!"
1,4,"While this app seems very progressive, easy to use and like a genuinely good option for learning swimmers, athletes, etc., it costs a lot just to get a training plan! It would be great if I can just learn new techniques and become a better swimmer without having to pay 9.99$ a month - which I can ALREADY learn how to be with my school's swim coach. I don't think it should cost this much for an extra boost."
2,5,"As a beginner swimmer who is working on my strokes and techniques, the app has been helpful in having everything I need in one place. The video demonstration and the workout plan in one place is really helpful for someone who either is new to swimming or is an advanced swimmer. The monthly challenges inside the app also keeps it fun to stay active and hold oneself accountable for it. Adding the dryland training has been very helpful as well."
3,3,"If you never swam competitively ever, or dont want the hassle of doing a quick google search, then this app is okay. However, as a past swimmer and current coach, the sets are somewhat stale, and the majority of them are behind what i would consider to be a decently high paywall. i get the desire to charge for this, but it shouldbt be nearly so expensive, and you shouls feel like you are getting a lot more for your money. The only nice thing i see is that they are color coded"
4,1,"Update: moving down to one star as I've contacted support and received no answer. App seems good, but is very buggy...good workouts, but interface is often crashing or lagging, wont log workout plans, etc. Paid for the Premium subscription and now it wont give me access to premium features...and appears to have deleted a week of data. I'm sure Ill have a heck of a time getting any refund! Needed improvement to keep my business...now Im going to an alternate app."
5,5,Love this app! I started using this app on the free model! I created my own custom workouts each day and then loaded them onto my watch! I eventually decided to try the 7 day free trial to use all of the features and I wish I had done it sooner! The workout of the day is what I normally do and I love being able to track my split times and see my improvement over time! Customer support has been super helpful with getting me set up on my subscription( -had some issues with the play store)
6,3,"Hello ,there I would like to talk about this app ,I just understand that if you don't have a credit card or money you aren't not able to get experience of this app . It's okay your app's styles design, programs look attractive, however, at least for costumers there might be free versions like a trial ,and if the costumers or people like it they'll already try to upgrade and get the premium, to sum up , do something in this app free without requiring a credit card 💳."
7,2,Really like the app for the most part. Especially with how it looks on all of their youtube videos. But that is on ios. Going to have to unsubscribe due to the fact that it always seems that the android and garmin integration takes a back seat to Apple. I have been using premium for ~1/2 a year waiting with the promise the android and garmin integration will catch up to Apple. And have not seen it yet. The app looks great on the Apple devices but looks old and clunky on Android and garmin.
8,1,"You can see nothing without paying money. Can't open even one workout. Every page, every button redirects to the subscription page. It's not the app, it's just a paywall simulator"
9,1,App is not at all as per expectations. Workout videos are not loading. It takes hell lot of time to see the video and the video don't stream properly. It's very annoying to wait for video to buffer. Even response from customer support is very poor. Overall not a good experience.
10,2,"Experience is very lacking in Android. The app is buggy, and missing many basic features available on iOS. My activities don't load with split information on them, except for the very first split. Every time. I can properly see every split in the Garmin app so it's not an issue with the watch. Swim times don't update at all by themselves despite saying they do. In iOS you even get an applause animation telling you if your progress. Feed only shows my own activities, doesn't show my friend's"
11,1,"Says in app purchases in description, not that you get a 7 day free trial then pay a fortune. The free version advertised was not an option. You had to subscribe to set up app. Misleading and uninstalling"
12,5,"I have the book ""swim like a pro"" signed by Mr. Fares Ksebati himself. Yes, I met him in person. He is very energetic in person, super cool and kind. He is the best remote swim coach ever. I have read the book (all time helpful in all things swimming your questions will be answered) and down loaded the app ( You can learn to swim like a pro). Best thing you can do for yourself, no matter what your swim level. Join the community. Thank you, coach."
13,1,App worked great for 3 weeks and is now crashing everyrime it is opened.
14,3,It works well to sync with Garmin and the workouts are well planned out. But it is extremely annoying that everytime I need to open the app to get a workout. I need to input the same information before it shows me the main page. I always have to reconfigure the distance and reselect my goals. It would be nice if it would save what had been input since the beginning. Plus drill videos should be included at all time even if seen previously.
15,2,"The application needs a lot of work. There too many bugs such as broken videos, not able to keep my personal settings (level, measurement of the pool) which leads me to renter them in every login. The UX is not easy to understand, you have to invest time and effort to use it. The perks of the application doesn't reconcile with the price in my opinion. Hence the two stars, just for the effort and the intention. I would suggest to find a proper testing team and redesign it to a simpler version."
16,2,"This app does not look like what is shown on YouTube videos or even the photos used here. I think it is optimized more for Apple(?) I am guessing that is where all the nice layout of the app is from because I don't see it on mine. Also, I'm only able to sync the workout from the app to my garmin and can't load my stats back into the app which I'm supposedly able to. But workouts are good if subscribed to premium, just lacking some clarity."
17,1,"Hardly any updates in the past 2 years and now you ratchet up the price? Yeah no. Good luck being greedy. Coach section rarely loads, app is extremely slow, ads show up on the videos provided to you on paid subscription. This is a fairly expensive app and I expected much much more. Wish I hadn't have paid for the subscription. Great idea, great potential, fail on execution and delivery."
18,4,"Helped me swim my first 1500m open swim!! A bit pricey, but for someone without any background, or minimal background in swimming; the app is cheaper than hiring a coach or joining swim class."
19,5,"Love it. Great workouts good videos, works perfect with applewatch. Cons only seems to be sync with apple and garmin"
20,1,"I can't even setup my profile as the app doesn't recognise the size of the pool I swim in, which is 14m. Please fix this issue."
21,5,"Easy to use, you can pick and choose from available workouts or make your own. Syncs to my Garmin watch so I don't need a pace clock, and can workout without the hassle! After a week of use, it randomly stopped working on my Garmin Fenix 5X. Charlie from MySwimPro's tech support spent the better part of the last few days working to resolve the issue with me. Already loved the app, but the effort put in to fix the issue was outstanding. Great app and an even better team behind it!"
22,1,So many bugs in this app. Synchronization issues are among the most annoying but many other smaller bugs. The Android version is super far behind of what is advertised on their webpage. Very misleading! The workouts are good but useless if you can't properly sync it.
23,1,Technical terms were not explained. My goal is not to get faster yet that's the plan I was given.
24,2,"(Disclaimer: I'm using unpaid version) Many features/buttons not functioning. Unable to update profile through settings button and unable to join any of the April challenges. Also, there's nothing to see in the feed unless you're following people, but as a new user, you're not following anyone yet, so feed is dead. Just white space. White disappointed with the whole thing. I'm an average swimmer and want to improve my strength and speed. Hoping this app would've helped."
25,1,"I have been following the YouTube channel for over a year now. Thought of using the app, however, I am not able to go past the sign up page. I used log in using Facebook option, but after that nothing happens. It says on the log in screen. I had to Uninstall the app."
26,3,"The content is great but the app itself is awful to use and the woman's robot voice is horrendous. The app doesn't seem to open things when you press on them, or it'll play the wrong video or open the wrong thing. It takes you back a page or two when you are trying to look at something. Overall really horrible to use sadly."
27,1,"You keep saying a big update is coming. I got a compatible watch (garmin 945) and no matter what I try I can't pair the watch. I can't connect Garmin Sync. Or Strata. The sync turns on. I log in. It completes and as soon as the app is closes or I Simply go back, the switch simply turns off again. Incredibly frustrating."
28,1,"Was led to this app by the youtube video's but to my dismay, it's a money grab. Expected more (silly me) from their youtube videos being so helpful. Will only let you see 1 swim workout unless you pay the monthly or yearly subscription. Thanks for this. As im new to swimming, i needed something to help me, but it seems I'll just do it myself, and if not, I'll just stick to running. I'm very disappointed."
29,1,"Not very functional: the app adjusted the swims I imported to include rest times within the swim times within sets, so that is frustrating. Every training plan requires a membership subscription. $120, upfront? When there are loads of good free pans out there? I was expecting to see more metrics of my swims but, no. Slow. Disappointing. Avoid."
