content,score,polarity,subjectivity,sentiment
"Got the app 5 weeks ago and I have made more progress in that time than the whole 1.5 years of swimming on my own before. The customized coaching is great and the app certainly pushes you but never has unreasonably high expectations of you. The ability to customize what goals you are working towards, how often you swim, how fast you swim, and what strokes you swim are all excellent features. Only negative I’ve experienced is minor bugs with sync issues between the app and my smartwatch. This hasn’t impacted my ability to use all the features just needed to use work arounds with how the workout is accessed by the watch. Minor bugs stop me from giving it a 5* but I am still loving the app. If I could see some additional features the biggest would be the ability to go back a set/split in a workout. Sometimes I can’t keep up with the times it says and I fall behind so this would help keep me on track. Also, the ability to toggle which swim equipment you have access to. My pool offers kick boards and pullbouys but no fins or paddles and I’d imagine it varies for everyone.",4,0.25731092436974784,0.5712605042016806,positive
"I am not a competíos swimmer but I enjoy it and wanted to push myself. I have been using this app for almost 6 months and it has been great! It’s so worth the fee. It has helped me continue to improve my technique and swim faster (my top two goals). It gives you weeks long plans based on your goals (which you can adjust) and the times for each workout are based on your past swim times. You can also make each workout shorter or longer in duration based on your needs for that day. It also has a library of swimming workouts that you can do as you choose. They also have videos on tips for how to improve form and drills. It has helped me begin to learn a new stroke (I’m leaning breaststroke). I also like that they offer dry land workouts! They can be done at home with minimum equipment (or none in lost cases). I also love the option to chat with employees when I have questions. This can a question about a note in a workout or swimming tips. Since I’m not part of a team, it feels really good to have that human contact! The app is compatible with Apple and Garmin watches. If you have one, you get to see what’s next while in the water and or records your time and more. If you don’t have one of these (I didn’t at first), you can take note of four times and the add the manually.",5,0.2787878787878788,0.4062770562770562,positive
"Very impressed.  As a long time swimmer with an Apple Watch, I didn’t think I wanted another app on top of Workout/Activities.  In fact I was initially annoyed that the app is designed for interval training not lap swimming.   I wanted notch up analytics for my laps at a slight cost, not a fully coached swim program.  But they’ve turned me around. From the moment my note to their customer service turned into a very rapid courteous personal reply, they began  winning me over.  Within 7 days I had begun to really appreciate feature sets and subscribed for a full year. Their app is loaded with pre-set and customizable workouts. You can for example remove kick drills from suggested workouts (my knee is injured) or checkout 15 second explanatory videos for stuff they want you to try. In short, a host of ways to make my swims more interesting.  I just finished a 1 on 1 call with their CS (currently offered to all subscribers) going over a few questions which they walked me through, noted my suggestions/concerns and patiently brought me into the world of their app.   I can understand why Apple gave them such high marks -  an very well designed product making use of Watch and phone tech , impressive CS, great GUI and what feels like an ever expanding future.  *****",5,0.24753623188405796,0.477463768115942,positive
"Let’s be honest, for many of us, our best competitive swimming years are behind us. Whether you’re a beginner, returning to the pool after taking years off, or in a master’s swim program - no doubt you need accountability, coaching, motivation and structure. Not only does this platform come with great pre-built swim plans and ability to build customized libraries - you get coaching through blogs and videos from swim experts. And if that weren’t enough, it connects you with a truly global swim community with some really awesome and humble people encouraging each other everyday. Using the watch in the water keeps you going and pushes you - better than your old coach yelling from the side of the pool! The stats and visuals are phenomenal. I’m amazed at how far I have progressed just following the pre-built plans. I have one paid app on my phone - it’s this one. But I don’t think of this as an app - because it isn’t. It is a complete support platform for people who swim. PS: tech will have issues from time to time - it’s the responsiveness of the team that matters. I’ve never had a tech issue that didn’t get resolved fully and ASAP.",5,0.23888888888888882,0.5402777777777779,positive
"First and foremost SwimPro is a great app with features that are helpful and motivating for a dedicated swimmer. I like being able to account for kick and drill sets during practice on the app. The “workout of the day” feature is easy to use, but only after reading the instructions. It is not “on the go” intuitive. The app has lap counting glitches. First, it lags behind counting laps by 25-50 yards. It usually catches up. However, I got lulled into trusting SwimPro to accurately tally the yards in my workout and today it got stuck at 2100 yards no matter how much more I swam (3750 yds). The app integrates easily to Strava and the Apple health apps. However, it can result in double counts of calories burned on calorie counter apps. I use MyNetDiary.  The glitches can make one frustrated, but overall the app is headed in the right direction.",4,0.16682539682539682,0.5018253968253968,positive
"This is the most complicated app for beginners. I literally didn’t even know what freestyle was. The plan assumes you have some sort of technical swimming background. Added to that is the fact that there is A LOT going on. So many colors and progress bars. I watched the videos a couple of times and still was confused. Added to that was the bug with the app not connecting with the watch and I had to reinstall.

Also, my pool is 25yd. The drill would say, for example, 2x100. Which I understood to be do 100 years twice. Then I had to calculate 100 is going back and forth 4 times. Then again. Can it just say 8x25? Or 4x25, 4x25? I feel like I had to do so much mental gymnastics and keep track of count. Again, Im sure there is a reason for it. But, the beginner plan was called “get wet”. I wanted to get in the water and do the drills. Enjoy myself swimming while I practice about breathing techniques. Master each stroke. Etc. 

Anyway, this is my take. This app is not for me. Maybe a super beginner plan with less technical stuff and a simplified screen would help. For now, I got my 20 dollars back. Im not paying to complicate working out. I just get a simple workout on swimplan and track on my apple watch.",2,0.06444444444444444,0.39862433862433855,positive
"I use this app with my Apple watch 3. It automatically tracks all my lap swimming including what stroke I am doing. You have to input the kick sets yourself, but that is easily done. Seems to be very accurate, maybe off by 25 yards once in a while in a 3000 to 4000 yard workout. That’s not a big deal for me. 
My workouts automatically get uploaded to Strava. Call me vain, but that gets me to work out even harder!
I’ve used MySwimPro for open water three times. It definitely tracks the yardage and route. I thought there was a problem with it uploading my swim, but that’s only because my watch was in airplane mode. The Apple Watch goes into airplane mode when you switch your phone into that mode. But the watch doesn’t come out unless you take it out of airplane mode on the watch itself. This is totally unrelated to the MySwimPro app. 
Definitely sign up for emails; the weekly how-to and technique videos are really well done and helpful. 
All in all I highly recommend this app,  definitely better than just the Apple Watch software.",5,0.14069444444444446,0.5205555555555555,positive
"High School was a long time ago for me, but I loved the swim team! My daughter has been swimming for high school too and I’ve always loved watching her! So when a gym with a pool opened up close by I signed up before they finished building it. The first month was killer, but I got my old strokes back and can now survive a good long 2,000 yard swim comfortably. For Christmas my wife got me an Apple Watch 4. To my amazement and delight, the basic watch can keep track of my distance AND my strokes! To my more amazement and delight I came across MySwimPro which works seamlessly with my watch! I’ve done a few workouts and through MySwimPro I’ve realized things have drastically changed since 1987! It’s like learning to swim all over again and I love it! Since I’ve started using MySwimPro I am within 5 seconds of my fastest 50 free in high school! Can’t wait to beat it and my school IM and Breaststroke records as well! And this is at age 50! Here’s to swimming and my personal MySwimPro coach! One of the best investments I’ve ever made for myself! You’ll love it too!!",5,0.3292261904761905,0.4465873015873016,positive
"I’ve been using MSP for about 4 months, swimming 3 times per week usually.   The training plans are excellent.  Having the workouts loaded on my Apple Watch so the watch can keep track of intervals is really helpful.   Using the app has helped my swimming a lot.  That said, I’ve encountered a few bugs.  There have been issues with dynamic interval times that I’ve entered being overwritten.  Other users have experienced the same.  When this occurs it messes up the workout on my watch. I’ve been in touch with support but the issue still hasn’t been resolved after about a month.  I’ve also had issues loading training plan workouts onto my watch if I modify them.  It takes several tries for the modifications to show up on the watch for some reason.  Some of the workouts have links to videos that only work intermittently.   I still use the app every time I swim and I still find it helpful, but sometimes it can be frustrating to get it working properly.",5,0.07115384615384615,0.42435897435897435,positive
"Save your money if you use a different watch.
Got the trial. Super excited to not have to create my own workouts in Garmin Connect. I have used my Garmin for Pool Swimming and had no trouble with structure workouts or my watch tracking laps/yardage. Thought the training plans looked fantastic and couldn’t wait to try them out. Turns out it doesn’t share a workout file like Training Peaks. Instead you need to down an app on the watch. Did it, syncing was laborious, the swim app for my Garmin watch was terrible. Yardage the watch counted was not even reasonable. The data the app offered after the workout had synced with my phone was garbage. Wrong yardage, wrong strokes identified, intervals made no sense. Without the ability to send my workout to my watch and find it useable the app and matching subscription is worthless. Liked the idea. Wished it lived up to the promise, but I’ve canceled my subscription and let the free trial run out.",3,0.0037698412698412404,0.7361111111111113,positive
"I am a 55 year old former college swimmer who had been out of the water for over 30 years.  I was too intimidated to try Masters in my seriously out of shape body.  I found this app by searching the App Store.  I loved the workouts and that I could set my skill level.  I loved the technique/drill videos as I had forgotten a lot of those.  
I quickly went premium.  I got up the nerve to join Masters only to have the coordinator move away several months later.  So there is no Masters program near me now.  Not to worry, because I have the app!  I stick mainly to the Workout of the Day but there are workouts for each stroke and an IM workout and kicking workouts.  
I took my phone in a ziplock bag to the pool deck and followed the workout that way.  Last Christmas I bought the Apple Watch and I now can look at my wrist and follow the workout.  It’s a win, win, win!!!!",5,0.29277777777777775,0.39777777777777784,positive
"I loved the idea of this app and really wanted to like it. The workout structure was helpful and is pretty nice. However, I found numerous glitches in the app where it would tell you do to a specific type of stroke… but wouldn’t tell you how to do it. I would update my app and eventually had to contact support. That was a mixed bag. They also never issued refunds. That’s in the fine print but I didn’t think they were very upfront with that. So buyer beware. I found that very frustrating because I constantly had issues with the app and they’d say they’re working on it. I eventually gave up because it was super expensive and never worked. 

Honestly, I wish I would have used the Total Immersion Program with Terry Laughlin (may he Rest In Peace). It does a much better job of explaining the technique and Terry is a much better instructor. There are dvds and a book but the website is great too.",3,0.22666666666666668,0.5986111111111111,positive
"I love this app and have used it to set and log my swim workouts for the past few months since purchasing my first Apple Watch.  BUT, I was caught off guard this past Saturday when I went for my morning swim.  I selected my desired workout (one I programmed myself), and started swimming, the app did not appear to be logging any information other than showing a timer that was counting up.  Found out later that the developer pushed out an update to the app after my last swim and it apparently made my copy of the app go wonky.  I uninstalled the app from my watch and the phone, then reinstalled it both places and it seems to be working now.  But it made for a very frustrating swim workout that Saturday morning. Guess it shows how much I rely on it for my workouts.",5,-0.05375,0.31875,negative
"I loved this app, but for the last week or more I’ve spent at least an hour a day installing an uninstalling it thinking that it’s finally fixed!  Then the next day I get ready to swim only to find that its not working again!  I’m so upset because I swim 3 to 4 days a week and when u get n the pool and r ready to start the last thing u want is to start the app and it’s not working again.  I live n Florida and many days I have to swim n between storms not to mention the schedule that I keep.  
Please respond and help me with my problem.  I have the latest update an Apple Watch 2 that’s still covered by Apple care, but since this isn’t an Apple app probably can’t be helpful.  Also have an iPhone 8 also still covered.  I’m adding to my review has anyone noticed that there isn’t a good review since June.  What has happened to this app?  When the good reviews r about customer service that’s know help!  Please undo what u did and fix this app.  People gave u five star review a year ago.  Remember if it’s not broken why do u have to mess with it!",1,0.22320075757575758,0.43379629629629624,positive
"It’s like I’m learning how to swim again. I’m a mom so I hardly ever get time to myself, but the pool is a great way to exercise and have that time while my boys play in the backyard! 

I grew up swimming every day, I’ve always been faster and more advanced swimmer than most people, even as a child. Since having kids, my core and my swim time is awful, of course. I can barely hold my breath like I used to! My lungs and muscles and core are not used to it anymore. So I’m really putting this app to work and trying to focus on one goal at a time to master. I’m loving it. 

I can’t wait to see what goals I hit from now til winter! And I love that you can use GPS for free open water swim or put in how long your pool is. I also can’t wait to do this at the beach!",5,0.2275641025641026,0.5724358974358974,positive
"I am at 67 a new swimmer . I cannot begin to explain the benefit that this app and the outstanding customer support has bestowed to me. I started out needing to rest after 25 meters . Going to the pool to swim was a source of anxiety and I went because I knew it was in my best interest. Enter My Swim Pro and I became mesmerized by the enthusiasm of Fares the founder . I wanted to become a swimmer . With the aid of Charles the “smartwatch whisperer “ suddenly I had a coach and a plan . I am know a swimmer , not a great swimmer but with the aid of this program suddenly I am treated and feel like an athlete in training . You want to just swim go ahead and enjoy but if you want to improve and become engaged in a fun healthy sport ? Stop wasting your time sign up and join all of us at MySeimPro community . Go ahead , I dare you !",5,0.2845959595959596,0.5088383838383839,positive
"I just recently renewed my paid subscription. It has been worth every penny.

I have loved to swim my entire life, however, as an adult I would often find myself getting bored / burnt out / unchallenged, picking it up here and there when I felt like it.

I bought this app last year and have done at least 3 swims a week - a consistency I haven't managed since I swam competitively in my teens. I just completed the 12 Week Open Water training plan, and I hope to do the IMx plan soon. The daily workouts are also fun.

This app has a huge library of drill videos and often posts about how to improve in different areas and / or strokes. But most importantly, it keeps swimming interesting and challenging, whether you are a beginner or advanced. It has really renewed my love for the sport, and I've gone from doing boring 1000 yard workouts to 3500 yard workouts over the past year. 

Customer service is EXCELLENT - though I've never actually had a problem with it bug-wise. After buying the app, the creator took the time to speak to me and get feedback on how to improve it. 

Highly recommend spending the cash on the paid version of this. It's the best app on my phone!",5,0.18884615384615386,0.5127564102564102,positive
