,score,content
0,1,"I was very excited about this app, but it's totally unreliable. While it did work multiple times, when I used it to record my most important swim of the year (a 5.2km open water swim) on Galaxy watch 5, it failed to sync/upload the data. The data is there with an upload button, but it gives ""upload unsuccessful"" every time. I contacted support, but they were totally unhelpful: their recommendation was to manually enter total time/distance (and accept losing all pace & heart rate data)."
1,5,"I'd give this a 4.5 if I could. It's not a perfect app, there are some things that could be changed (a more direct way to get to your active challenges, for one). However, it works well with pretty much any fitness tracker out there, syncs nicely with Garmin/Strava. The monthly challenges are very motivating. Making the progress bar for the challenges a bit more prominent would be a nice change, too. All in all, though, this is a great app for us swimmers."
2,2,"I would love it if it was accurate. I am not sure if the problems come from my swimming style, the software, or the hardware (using a Fossil Carlyle). In addition, I would love to have the following features: - the ability to manually edit/delete swimming logs (to help correct accuracy) - clear documentation on how to connect to Google Fit ( I see the option within account settings but haven't figured out how to use it) - ability to pause workouts (improve UX to make it easily discoverable)"
3,2,"Syncing with a watch is a horrible experience. The login page does not come up every time on my phone. I've tried opening the Swim app on my phone and the WearOS app. But could only get the login screen to come up once. Then once it came up, found it the login screen doesn't include integration with my Google account. Had to delete my account and use a regular email account. Now I can't get the login screen to come back up."
4,1,"It's simply has too many issues, the watch app freezes and is a massive battery drain, the phone app freezes, and the website doesn't aggregate and average the daily, weekly and yearly distances. You have no idea what I have to go through to get the swims logged. I wish I was better at Excel and I would write a program myself."
5,2,"Overly obsessed with what pool you are in. It interferes with basic functionality. Also doesn't sync with Google fit, just allows you to export data that can be imported. Waste of time and effort."
6,5,"I have and use both a Garmin and Suunto sports watches (and Strava), and my swim data transfer seamlessly to this app. The app gives nice and clear visual display of your swim statistics, and is very easy and intuitive to use. However, I should perhaps point out that I'm only a recreational swimmer, so my needs are definitely satisfied way sooner than some pro's."
7,1,Terrible I can't even sign up because it says please accept the terms and conditions but doesn't give me the option to accept. So I can't even try it. I'm sure it's not good if you can't even create an account.
8,2,"The app is OK to use, but it has horrible support for units. There are several options to change the units from miles to meters. But so far I found not a single screen where the units are actually correct like I set them. I have it set to meters, and everywhere you can see ""y"" (probably ""yards"") where it should say ""m"". This is the same for the app and the smartwatch interface. Very annoying if you live in a country where they don't use retarded units. Contacting their support didn't help."
9,2,"All in all the app is great app with potential to be even better. The problem is the tracking accuracy! It never gets the tracks right. Whenever I go for 100yards, it thinks it was only 75 and my results look bad. When I correct it in the app, I find that one of the returns was usually not tracked. When I split the track to the correct number my results are not updated to the leadership board. I wonder how many users have that problem too and thus don't even make it into the leadership board?"
10,2,"Inaccuracy is really an issue, especially when I don't see any logical reasoning. Out of 4 routine swims, three were not right in distance, none of the four were correct in identifying strokes nor the change in laps. Also, syncing with Google Fit is useless. 2 heart points after a 1km swim without being able to edit is just wrong! Your app also thinks I rest half of my swim time. Time for the team to invest in app accuracy and take a break from making up workouts!"
11,1,"I can NOT recommend this app (for watches) & customer service/help desk I have had tried to connect my watch and it won't. I contacted the help desk -who seemed to be very helpful initially, however it has been over a month and I have not heard back (I have sent 2 follow up emails) it appears they have just put it in the 'too hard' basket. Very disappointed. If you want to track your swims I can HIGHLY recommend form swimwear, they have EXCELLENT customer service and I have had zero issues."
12,5,It works! I've been wanting a swim tracking wear OS app for a while. And now one exists. I imagine the developers had to work hard to get a swimming app on Wear OS 2 but they did it. I'm happy!
13,5,It's wary good app I very love it but I want to ask 2 improves 1 they I can set thet all kilometer/half kilometer I get short vibrate 2 some times one I stop for second in the middle of the pool because someone thet calculate it like 2 pools thenks 🙏
14,4,"Generally good. There seems to be an issue with the way the app estimates energy spent swimming. Today I swam 1700m and the app reports to Strava that I expended 30,000 calories? Weird."
15,5,"For samsung wearable devices, this is the most accurate swimming app I have come across. Much better compared to speedo on and Samsung health. Works awesome with the galaxy watch. Only downside I have is that for some reason, once you launch the app it turns the watch brightness to max. Wish it didnt but It's not much of a big deal. On the gear 2pro, the display could use some tweaking though. You can't scroll through pages once water lock is on; it does not scroll automatically either. All in all, It's a great app and would highly recommend it."
16,5,I like the workouts too much because it go with u in the water in the watch and be as coch swim beside u I just want more workouts for beginners Between 1 and 1.5 km during 45 to 60 minutes
17,1,"I liked the app when I was just tracking my swims but when I started wanting to use the workouts I got incredibly frustrated. All of the workouts are in yards even though I specifically have it set to meters, ok fine I thought, I can just create my own workouts... Well technically yes, but if you don't swim it immediately well then it disappears. There is no way to save it, other than send yourself a PDF of it but I DO NOT WANT A PDF! If I wanted a PDF I would have just typed the damn thing!"
18,3,"Having tested for a couple of weeks, here are my impressions: 1.) Much better detection than S health with the galaxy watch. 2.) Freestyle, fly and backstroke are detected accurately, but breaststroke is not captured at all in my case, whereas it is with S health. 3.) I am finding myself having to re-athorize synchronization to Google fit after every swim or it is not synced. 4.) Ideally implementing synchronization to S health would be great to avoid using Health Sync."
19,5,"I have used this app to record swims, manually, through my USMS FLOG, and from my Swim2 watch through Garmin Connect. Mostly this was seamless, but when it wasn't the support team was a big help. The support team is super. They are responsive and listen to suggestions well. This is the only app that I know of, where I can fix the mistakes that I made using my watch in the pool. I can also adjust when the watch reads my stroke wrong. This is the go to app for looking at what I actually did."
20,1,"Edit: 23 Nov Upgraded to a Samsung Active 2 and the latest app version consistently freezes when trying to end a swim, loosing the entire record in the process, only syncs 2 swims ... Samsung Health automatically tracks all swims ... Latest version update of the app does not install on Samsung Gear Fit 2 Pro, after old version worked more or less fine for months. Very little information on potential trouble shooting and no fallback solution, e.g. option to download/install previous version."
21,2,"App is the best available swimming tracker for Wear OS. But it’s not great, especially compared to tomtom or garmin. Accuracy is poor, rest feature may not recognise beginning of the swim. Screen may unlock and lock back showing stats from previous swim. Bugs, bugs and more bugs. App is far away from being usable."
22,5,Great app. Love the option to do pre-loaded workouts or simply record your swim.
23,2,"A good 10% - 20% out on every swim. Sometimes over, sometimes under, with no rhyme or reason. Inaccurate nearly to the point of uselessness. Interface is annoying and glitchty. It's impossible to see the lap count when you've got goggles on."
24,2,"I must be missing something because I am finding no value to this app. It's not syncing with my Garmin connect, the workout selection is a bit subpar, it feels very redundant. I'll just stick with the Garmin platform because there's no way I'm buying a watch just for swimming when the app isnt great. Two stars for trying"
25,5,"All I want is swim tracking. Strokes, rest times, number of laps and distance traveled. Initially I was having trouble with accuracy. I had terrific response from the app developers. The app is getting better and better and better. Thanks"
