,review,rating,title
1,"Strictly from an App Design standpoint, it breaks several of Apple’s UI Design Recommendations. For instance, when searching for a location, the “X” should clear out the text in the search field, because that is the standard for this UI, but in this case, it closed the location settings all together.  There are lots of other clunky and unpolished UI decisions that make it hard for me to want to engage with the app as well.  

In functionality, my pool isn’t listed so all of the leaderboard functionality is not going to work for me.  I’m surprised that it asked to read my health data, but didn’t go ahead and import all of the swims that are already recorded into their application, especially when it claims that breaststroke is my least swam stroke (it’s actually fly).

Lastly, this has a very social media feel to it in some places, especially as I was going through the privacy settings, so if that isn’t your thing (like it isn’t for me), make sure you turn your profile to private.",3,"It has potential, but still needs work."
4,"This app has all the potential of being great but the inaccuracy of the total distance swam makes it annoying. Additionally, if you’re a  consistent long distance swimmer (+4,000meters at a time) it has a high likelihood of crashing. I’m part of a club team and we have “wall tap counters” (every time you touch the wall it counts the lap you’re on) we found the app to be about 10-20% off on the total number of laps swam. So...I have a solution for you. The reason why the app counter is wrong is because it doesn’t take into account that some swimmers have longer “strides, glides, wingspan” then others, one way you could fix that is by allowing the app to calibrate individual swimmers. At the start of your app, you should have swimmers swim 25-50 meters so that the App gets used to how many arm lengths it takes for that particular swimmer, making the app more accurate.",2,Inaccurate/buggy
6,"I want to like this app. It has potential, and I’ve stuck with it for the past three years. Unfortunately, the bugs are overwhelming. Even something as simple as drill mode, where the app doesn’t need to do anything except what it is told by the user, fails to record proper distance and time. Not to mention the latest “upgrade” to drill mode that uses force touch to control it at every interval. In water, force touch doesn’t work that well, so it is a nightmare to use. What’s more, half of the time the workouts don’t upload correctly from an Apple Watch. Spend more time on bug fixes rather than continuing to push forward useless and detrimental features. Make the app solid and reliable first, then focus on upgrades.",2,Bug fixes > Useless features
9,"The new iPhone app format update is the worst user interface I've ever seen. Lots of wasted space with useless bar graphs and useless lifetime totals, difficult to see your last workout data, and hard to read it when you find it. And a new focus on offering workouts but if you don't need them you're going to have to constantly navigate around that. The Apple watch workout app shows the real data a million times better. Hopefully they'll fix it because their Apple watch app is better than the workout one. 

Lastly, still useful from an old review:
There are no weekly totals, no analysis of improvement. If they improve all this stuff it could be useful.",1,Needs work on interface in phone app
11,This app is great when it works. Just after the new iOS update the app has been buggy and lost two of my swims. I️ like that it handles rest between intervals and sets. I️ also like to set the drill mode. The Apple Watch workout app tracks in the background and it adds to your rings.  Ending a workout can be a pain since the way the Apple Watch and app are relying on pressure. Did a 4000 yard workout with my masters group and the app locked up and lost the workout. It needs serious fixes and an update. May go back to apples fitness app which is harder to handle I️. The water for drill sets.,3,Good app
12,"I haven’t even gotten around to using this app in the pool because the interface/settings are extremely cumbersome. This app won’t save your preferences on workout searches; it defaults back to the preferences you input when you set up your account. I made the “mistake” of setting up preferences that turned out to be very restrictive and only showed one workout. If I want to search for a new workout, I have to change my preferences every time I navigate away from the Workouts tab. If I favorite a workout after fiddling with my preferences for the umpteenth time, I have to change my settings yet again when I want to view those workouts.",1,Terrible functionality
18,I’ve used this App for 4 years and over the last year it has been crashing and dropping my swims halfway through my 3500 yard sessions. I regularly have to check and manually add 1300+ yard sets to accurately track my total distance. I submitted a report and they told me it was because I’m not running the current version (which I am on an Apple Series 6). Unfortunately this is the best tracker I have found so far so I deal with the crashes that have become a regular part of my training.,2,Used to work brilliantly
19,I like the app on the Apple watch 2 but doesn’t translate well to iPhone. The workouts usually take days to sync and the calories always show 0 even though my watch obviously picks up the movement. It just doesn’t equate to the same number of calories as the resistance brings when the watch knows that your swimming. Not sure I explained well but it’s frustrating. The only thing I like about his app is that it differentiates resting vs swimming time. Haven’t found another swimming app that does that automatically.,2,Sync issues. Doesn’t show calories.
23,When it automatically syncs it is good but each year have problems with this. I love when it works correctly but not so much when it doesn’t. The service with issues of connectivity or syncing not much help. But it would be five stars if it worked correctly all the time.,3,A sometimes frustrating
26,"I have used this app with my Series 2 Watch, and it worked well. The user interface is great, and accounting for kick drills is excellent. 

It needs an update however for the new Watch iOS. I don’t blame the developer, but it needs to be addressed. Blows away Apple’s swim
tracker, when it works.

UPDATE:

I have uninstalled and then reinstalled. Still doesn’t work on Apple Watch Series 3. Developer is VERY responsive, which is appreciated, but still not working. Hopefully soon because it is an excellent app, when it works.

FINAL UPDATE:

I have done everything short of sacrificing a goat to get this app to work. I even reset my Apple Watch Series 3 to factory settings. After 200 meters, watch read 50. 

Done with this app forever. Great concept, but reality is much different. It just doesn’t work.",1,Doesn’t work with Apple Watch 3
27,"I was really excited about this app, but it blocks out all relevant information and covers the face of my watch with just the time of day so it’s nearly impossible to figure out what my splits are or what comes next in the workout. I tried raising my arm, touching the screen, jiggling the Digital Crown, but nothing reliably called up the info I wanted to see. I finally gave up and went back to the watch’s built in lap tracker. Disappointing.",1,Makes Apple Watch useless
29,"Frequently adds laps, even for a 100 it may record 125. It also doesn’t correctly I’d strokes. Tech support doesn’t seem interested. I have the latest pre beta version with open water tracking, they told me all bugs were fixed. I use the latest “pre” beta version which I was told had the latest algorithms   Unfortunately I see the same errors as the previous versions",2,Not consistant
33,I like the app and the ability to have my workouts on my Apple Watch.  The connection between the Watch and app does not work and when it does then the app to the activity tracker does not work.  I have followed all the suggestions in the support but it’s still unstable.  Connection to the internet is not the problem.,3,Good and Bad
35,The concept of the app is great and really needed as there is little support for swimmers.  I have had the app for a long time.  When it was launched I expected it would quickly start aligning with all the watches that support swimming metrics.  I support Polar who have been in the swimming space for a long time.  There is still no support for Polar or a raft of other watches.  If you want to grow your customer base surely appealing to a wider audience is a no brainer but I must be wrong!,1,What’s the point
36,"I bought my Apple Watch 6 last week. It only tracked 20 of 60 minutes in the pool. I’m starting out doing kickboard front/back crawls (no arms yet) and the tracking is wonky.

I just want to track my laps. I’m looking for the swim lap tracker for dummies. I don’t think this is it yet. I’ll try for another week but I’ll be honest. I’m looking still.",2,Noob can’t track laps
37,Great concept but the ease of use isn’t there. The app isn’t intuitive to use and is a bit behind the power curve when it comes to inputting your times. There is no option for tenths and it refers to your time as “duration.” I’m not thrilled with this at all. Did they use actual swimmers when running this thru testing? I can’t imagine they did.,2,Not thrilled
38,"Some swim sessions are not being saved. Disappeared completely out of the box 😂
It gets me frustrated, especially after swimming 4kms 🤯
The new update of the app on the apple watch displays a weird layout sometimes, buttons and labels are getting outside of the screen 😳",3,A bit disappointed
39,"I am able to adjust date of swim, but it does not save. I forget to input day of swim occasionally so unfortunately my swim is posted day late. Hope the ability to do that is fixed. Also, many times I need to input info twice for it to save.",3,Needs improvement
42,Apple Watch SE owner since October 2022. For some reason the app is overstating my distance in the water today I did 500 yards the watch record of 1200 yards however using the native activity app that comes with the phone My distance was recorded accurately. Any ideas?,3,Overstating Distance
44,"To use this app for *anything* you have to turn over incredible amounts of personal information.  If you make any part of your profile “private” the app won’t work with any of the myriad of virtual events. The UI is an abomination and doesn’t work effectively with manual entries, making this YET ANOTHER “service” that requires a $300 watch. Very unfortunate that USMS has partnered with such a low quality venture.",1,Utter Garbage
