,feature,review,similarity score
0,personalized training plans,"Amazing app, amazing coach and superb courses. I am enjoying the app so much and it motivates me to go at least twice a week for swim. I find courses are very well made and help any aspiring swimmer at all levels. 
I used to swim but the coach had changed my swim style and technique so much and it improved my swimming endurance and skill to a great extent. 
Thank you for the wonderful service. The subscription is very well worth. In fact I would say you get lot more than you pay if you are persistent with the workouts and the courses",0.3637063
1,personalized training plans,Tried a few training apps for getting into swimming and this one is the best I’ve seen. Tips are helpful and easy to understand,0.3876491
2,personalized training plans,"I have been trying to learn how to freestyle without a coach. After 50+ videos saying keep your elbows up, this is the 1st videos to actually SHOW you how to do it. Also the demonstrations OUT OF WATER are very helpful. I love the way this app and it’s videos are so helpful. I began my swimming with 27-28 strokes to get me across the pool. In 5 days with the help of this training, today I crossed the pool in 17-18 strokes. I’m impressed!",0.3637063
3,personalized training plans,"Great app! Simple as it is, works good for beginners and pros as well! Just download this app, find a pool and get that practice done!",0.390452
4,personalized training plans,Thank you guys. Appreciate your work.,0.96638244
5,personalized training plans,"I put my phone in a plastic bag to use this app. XD It's sleek and easy to use. I tried out the first 2 recommended workouts and liked them a lot, but now it won't generate any more and I don't have a subscription. Are there only 2 accessible workouts per mode without a subscription? Also some of the drill descriptions are hard to understand (in English). Not a huge problem but I'm not familiar with all the drills. (Edit: the videos are really helpful though!)",0.3637063
6,personalized training plans,"They are a great service to sort out what you might want to train up for in the swimming pool, the next thing I'd appreciate is if they could make some dry-land workout routines I could follow.",0.99971175
7,personalized training plans,"Great suppport service. I was unable to use the app due to a mistaken ""connection issue"". They fixed it right away, and I'm now the happiest guy in the pool with my app.",0.38079876
8,personalized training plans,"The app is a great resource! But I'm only interested in the material, and not the device tracking features as I don't have one. Is it possible to make a cheaper plan to get access to all the resources?",0.378
9,personalized training plans,"An excellent app. I've been following Swimup on YouTube since it was first created. Pin point error correction, solutions and excelent effective training ideas on adult swimming. Program includes all basic and all advance levels and END and SPRT modes with using tools where necessary. I made my subscription on 2021 August 1st. I took many private lessons and group work so far, but I have never had such a rapid and effective development until now. You must try, time is valuable.",0.93151367
10,personalized training plans,"If only they got rid of those generic photos of that male swimmer from the start screen. And add some HD photos of Olympians, familiar faces for each category. This app would look immensely cleaner! Performance wise : the app won't save your work if you take a call or switch tabs from another app during your workout for some reason.",0.3637063
