review,rating,title,polarity,subjectivity,sentiment,feature,similarity score
"Amazing app, amazing coach and superb courses. I am enjoying the app so much and it motivates me to go at least twice a week for swim. I find courses are very well made and help any aspiring swimmer at all levels. 
I used to swim but the coach had changed my swim style and technique so much and it improved my swimming endurance and skill to a great extent. 
Thank you for the wonderful service. The subscription is very well worth. In fact I would say you get lot more than you pay if you are persistent with the workouts and the courses",5,Amazing app,0.4461538461538462,0.5499999999999999,positive,personalized training plans,0.35473
"Amazing app, amazing coach and superb courses. I am enjoying the app so much and it motivates me to go at least twice a week for swim. I find courses are very well made and help any aspiring swimmer at all levels. 
I used to swim but the coach had changed my swim style and technique so much and it improved my swimming endurance and skill to a great extent. 
Thank you for the wonderful service. The subscription is very well worth. In fact I would say you get lot more than you pay if you are persistent with the workouts and the courses",5,Amazing app,0.4461538461538462,0.5499999999999999,positive,drill&technique video library,0.92186046
"Amazing app, amazing coach and superb courses. I am enjoying the app so much and it motivates me to go at least twice a week for swim. I find courses are very well made and help any aspiring swimmer at all levels. 
I used to swim but the coach had changed my swim style and technique so much and it improved my swimming endurance and skill to a great extent. 
Thank you for the wonderful service. The subscription is very well worth. In fact I would say you get lot more than you pay if you are persistent with the workouts and the courses",5,Amazing app,0.4461538461538462,0.5499999999999999,positive,easy-to -follow workouts,0.93837065
"Amazing app, amazing coach and superb courses. I am enjoying the app so much and it motivates me to go at least twice a week for swim. I find courses are very well made and help any aspiring swimmer at all levels. 
I used to swim but the coach had changed my swim style and technique so much and it improved my swimming endurance and skill to a great extent. 
Thank you for the wonderful service. The subscription is very well worth. In fact I would say you get lot more than you pay if you are persistent with the workouts and the courses",5,Amazing app,0.4461538461538462,0.5499999999999999,positive,analytics to track your progress,0.97640944
Tried a few training apps for getting into swimming and this one is the best I’ve seen. Tips are helpful and easy to understand,5,Best swimming app,0.4111111111111111,0.4111111111111111,positive,personalized training plans,0.9536061
Tried a few training apps for getting into swimming and this one is the best I’ve seen. Tips are helpful and easy to understand,5,Best swimming app,0.4111111111111111,0.4111111111111111,positive,drill&technique video library,0.43925253
Tried a few training apps for getting into swimming and this one is the best I’ve seen. Tips are helpful and easy to understand,5,Best swimming app,0.4111111111111111,0.4111111111111111,positive,easy-to -follow workouts,0.3983664
Tried a few training apps for getting into swimming and this one is the best I’ve seen. Tips are helpful and easy to understand,5,Best swimming app,0.4111111111111111,0.4111111111111111,positive,analytics to track your progress,0.27103293
"I have been trying to learn how to freestyle without a coach. After 50+ videos saying keep your elbows up, this is the 1st videos to actually SHOW you how to do it. Also the demonstrations OUT OF WATER are very helpful. I love the way this app and it’s videos are so helpful. I began my swimming with 27-28 strokes to get me across the pool. In 5 days with the help of this training, today I crossed the pool in 17-18 strokes. I’m impressed!",4,Thank you!,0.425,0.5,positive,personalized training plans,0.35473
"I have been trying to learn how to freestyle without a coach. After 50+ videos saying keep your elbows up, this is the 1st videos to actually SHOW you how to do it. Also the demonstrations OUT OF WATER are very helpful. I love the way this app and it’s videos are so helpful. I began my swimming with 27-28 strokes to get me across the pool. In 5 days with the help of this training, today I crossed the pool in 17-18 strokes. I’m impressed!",4,Thank you!,0.425,0.5,positive,drill&technique video library,0.92186046
"I have been trying to learn how to freestyle without a coach. After 50+ videos saying keep your elbows up, this is the 1st videos to actually SHOW you how to do it. Also the demonstrations OUT OF WATER are very helpful. I love the way this app and it’s videos are so helpful. I began my swimming with 27-28 strokes to get me across the pool. In 5 days with the help of this training, today I crossed the pool in 17-18 strokes. I’m impressed!",4,Thank you!,0.425,0.5,positive,easy-to -follow workouts,0.93837065
