,score,content
0,4,"I put my phone in a plastic bag to use this app. XD It's sleek and easy to use. I tried out the first 2 recommended workouts and liked them a lot, but now it won't generate any more and I don't have a subscription. Are there only 2 accessible workouts per mode without a subscription? Also some of the drill descriptions are hard to understand (in English). Not a huge problem but I'm not familiar with all the drills. (Edit: the videos are really helpful though!)"
1,3,"The app is decent, I am using it, but the behavior in regards to sales is terrible, I have bought an yearly subscription at a very markdown price. Normally this should have locked in my subscription, instead I was refunded the money and forced to pay again because of new pricing. Buying a subscription means that it should be respected, if it was sold at a low price to gain customers, it means you made a conscious choice to loose money on initial marketing and leads."
2,5,"They are a great service to sort out what you might want to train up for in the swimming pool, the next thing I'd appreciate is if they could make some dry-land workout routines I could follow."
3,2,"A lot of potential and probably the best of the kind in many aspects, including usability. But it is very limited and it seems development is completely stagnant. No option to remove workouts, restart program, increase workout duration/length or chose which equipment you have. Also doesn't export/import from Garmin or Polar. Very disappointed. It would have so much potential if it wasn't abandoned..."
4,5,"Great suppport service. I was unable to use the app due to a mistaken ""connection issue"". They fixed it right away, and I'm now the happiest guy in the pool with my app."
5,5,"The app is a great resource! But I'm only interested in the material, and not the device tracking features as I don't have one. Is it possible to make a cheaper plan to get access to all the resources?"
6,5,"An excellent app. I've been following Swimup on YouTube since it was first created. Pin point error correction, solutions and excelent effective training ideas on adult swimming. Program includes all basic and all advance levels and END and SPRT modes with using tools where necessary. I made my subscription on 2021 August 1st. I took many private lessons and group work so far, but I have never had such a rapid and effective development until now. You must try, time is valuable."
7,4,"If only they got rid of those generic photos of that male swimmer from the start screen. And add some HD photos of Olympians, familiar faces for each category. This app would look immensely cleaner! Performance wise : the app won't save your work if you take a call or switch tabs from another app during your workout for some reason."
8,4,"Would rate five stars if we had the option to select what equipment is available to us and tailor the workouts around that. Ex: not swimming in a pool so unable to do exercises based on pushing off the wall, etc. Also would like to be able to select less than 250m and less than 20 min on the set up questionnaire for complete beginners."
9,4,"Very good content and presentation with clear explanations. The app experience could be a tiny bit more refined, but for what it does it's great. I use it in combination with Swim Coach."
10,5,Immediately impressed with the UI and build of the app. Excited to put in some work with this app.
11,5,"Great app so far, I just wish there was a way to reset your training plan and swim stats. I accidentally completed a workout I hadn't done yet, just wish I could undo those stats. Otherwise the app is super simple and dummy proof!"
12,2,"Subscription schemes to bleed customers dry ad infinitum are the only option offered to obtain the software's full functionality; there is no possibility to purchase the program once and for all. Consequently, this milkingware has been replaced with an alternative that can be bought instead of rented and was subsequently uninstalled."
13,4,Great swimming app. Just wish there were exercises for pull buoys and snorkel. Taking off a star and uninstalling because you can't choose which strokes you'd like to focus on or what equipment you have (I'd like pull buoy and snorkel exercises).
14,5,"As a former swimmer with respectful results in junior competition in my country, i'm delighted by this phenomenal app! Now, i'm 33 years old and trying to rebuild my condition and maybe take part in veteran's competitions. This app is very helpful for me because it provides me daily with great workouts. Congratulations guys! One dilemma though - if i have for example 3x100m freestyle with 30 sec rest, does it means rest after each 100's or after i complete all 3? Thanks for answer in advance"
15,5,"For beginners who want to learn swim better with strictured plan and drills, this is the app! It helps me a lot of improving my swimming techniques in short of time. Thanks!"
16,4,"I wish I could print the exercises with more details. I started bringing my phone in a water bag and check the numbers in the pool, so I don't have to spend a lot of time memorizing them"
17,1,The videod keep loading without opening
18,5,Absolutely loving it so far! I used to swim competitively and am now coming back to swimming as a form of working out. Exactly what I was looking for.
19,5,"It's a superb app,covered up for all round skills and techniques...an easy way to improve with lesser time"
20,5,Coooooool. I like it but please improvise the ability to download the clips and use them when offline
21,1,This app did not meet my expectation. I have unsubscribed within a day and I am unable to get the refund.
22,4,"Excellent content, but - you must adding option for Android watches. Like garnim watch ( as competitors have ) . You have a lot users like my, with Android phones / watches, and this feature is necessary for exercises into the pool. Thank you !!"
23,4,"Good videos with proper techniques, can we download videos if we take subscription of the app"
24,5,It makes me feel like I have a one on one personal trainer. I love this app and have recommend it to my friends.
25,5,"Excellent application, helped me lot for learning and improving swimimg"
26,1,"I make a subscription and app stop working , can't load anything eaven a free lesons"
27,5,Easy to use. Step by step guidance. The videos are very helpful.
28,5,great for every swimmer
29,3,Greate app but It is not available for samsung galaxy watch 4 classic😥👎
30,5,This app is awesome. They used a lot of effort to make this. Thank you very much
31,3,I wish they explain that it's not free I can access few examples only
32,5,Best app i came ever across . My only regret is why i didn't know about this earlier 😃.
33,5,Super nice app and free of cost go for this app🤗✌
34,1,Nothing is free in this app
35,5,Really helpful. Thanks
36,5,Its a very very nice app
37,5,Useful for us instructors
38,5,Perfect swimming Technics
39,5,Very nice app
40,5,I love this app
41,5,Best swimmg tactics.
42,1,This app is very poor
43,5,Super supper supper supper supper
44,5,Superb Tq Swimup
45,5,very nice
46,5,Good 👍
47,1,Not recommended
48,5,"Muy bueno, me sirve mucho para hacer entrenamiento y ejercitar"
49,5,Very usefull👏
50,5,Excellent
51,5,Perfect
52,5,Super bro
53,4,"Спасибо, приложением генерирует интересные тренировки с детальным описанием и видео примерами. Единственное, чего не хватает так это изменения языка приложения в настройках. Очень неудобно менять каждый раз языковые настройки телефона. Жду этой настройки :)"
54,5,"Спасибо, отличное приложение для тренировок. Просьба: добавьте в настройки переключение языка приложения, чтобы он не зависел от системных языковых настроек телефона."
55,5,Nice app
56,5,Very good
57,3,Paid app
