Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank,Event
Rio,2016,50m,Freestyle,0,Women,GBR,林佩玟,30.91111111111111,4,Swim1
London,2012,50m,Freestyle,0,Women,GBR,林佩玟,30.965079365079365,4,Swim2
Rio,2016,50m,Freestyle,0,Women,BLR,林佩玟,30.90793650793651,3,Swim3
Rio,2016,50m,Freestyle,0,Women,BRA,林佩玟,31.0,4,Swim4
Tokyo,2020,50m,Freestyle,0,Men,USA,林佩玟,30.50952380952381,4,Swim5
Tokyo,2020,50m,Freestyle,0,Men,BRA,林佩玟,30.504761904761907,3,Swim6
London,2012,50m,Freestyle,0,Men,USA,林佩玟,30.538095238095238,4,Swim7
London,2012,50m,Freestyle,0,Men,TTO,林佩玟,30.544444444444444,4,Swim8
Rio,2016,50m,Freestyle,0,Men,LTU,林佩玟,30.585714285714285,4,Swim9
London,2012,50m,Freestyle,0,Men,USA,林佩玟,30.5,2,Swim10
