,訓練距離(km/週),賽事,日期,賽事等級,項目,成績,心率,睡眠問卷分數,睡眠等級
0,8.73,Swim0,2023-01-31,全國級,Women 100m Breaststroke,27.111,158,23,1
1,8.31,Swim1,2023-02-28,縣市級,Women 50m Freestyle,26.46,171,52,3
2,8.85,Swim2,2023-03-31,國際級,Women 100m Breaststroke,1:10.80,148,35,2
3,9.46,Swim3,2023-04-30,全國級,Women 100m Breaststroke,1:08.90,134,39,2
4,8.23,Swim4,2023-05-31,縣市級,Women 50m Breaststroke,32.10,162,23,1
5,8.23,Swim5,2023-06-30,全國級,Women 50m Breaststroke,32.10,127,2,1
6,9.49,Swim6,2023-07-31,國際級,Women 200m Breaststroke,2:35.18,180,21,1
7,8.93,Swim7,2023-08-31,全國級,Women 100m Breaststroke,26.744,140,52,3
8,8.06,Swim8,2023-09-30,縣市級,Women 50m Breaststroke,32.10,158,1,1
9,8.79,Swim9,2023-10-31,縣市級,Women 100m Breaststroke,26.7,177,23,1
10,8.05,World Aquatics Championships - Doha 2024,2024-02-17,國際級,Women 50m Breaststroke,32.10,171,53,3
11,8.38,World Aquatics Championships - Doha 2024,2024-02-12,國際級,Women 100m Breaststroke,1:10.77,172,13,1
12,8.21,Chinese Taipei Ranking Match 2023,2023-12-09,國際級,Women 100m Breaststroke,1:10.80,171,5,1
13,8.35,Chinese Taipei Ranking Match 2023,2023-12-09,國際級,Women 50m Breaststroke,32.17,147,2,1
14,8.6,National Games 2023,2023-10-21,國際級,Women 200m Breaststroke,2:35.18,149,39,2
15,8.18,National Games 2023,2023-10-21,國際級,Women 100m Breaststroke,1:08.90,143,23,1
16,8.18,National Games 2023,2023-10-21,國際級,Women 50m Freestyle,26.46,122,24,1
17,8.59,National Games 2023,2023-10-21,國際級,Women 50m Breaststroke,31.68,151,10,1
